Title,MSKU,Fulfillment,Inbound Qty,On Hand,Unlisted Qty,Cost/Unit,Total Value
Livewire Advantage Instrument Cable 10 ft. Black,1058619763,FBA,0,27,0,10.48,282.96
Brooktown High: Senior Year - Sony PSP,1068811450,FBA,0,24,0,5.10,122.40
Fortnite Minty Legends Pack(code in Box),1067108753,FBA,0,23,0,39.99,919.77
FIFA 19/NHL 19 Bundle PlayStation 4,1068329356,FBA,0,16,0,11.16,178.56
Sniper Ghost Warrior: Contracts PS4,1068949078,FBA,0,15,0,14.00,210.00
Dora Big Birthday Adventure,1064901508,FBA,0,13,0,6.50,84.50
Epic Games Fortnite - Anime Legends - Xbox,1071517349,FBA,0,11,0,19.99,219.89
Prince of Persia: The Forgotten Sands - Playstation 3,1070891232,FBA,0,11,0,15.99,175.89
Monster Energy Supercross 4 - Xbox One,1071283751,FBA,0,11,0,9.81,107.89
"Harmony Good Dog Ceramic Dog Bowl, 1 Cup",1058392679,FBA,0,11,0,5.99,65.89
"18"" Bendable Muslin DollNew by: CC",1030912249,FBA,0,10,0,8.99,89.90
FIFA 16 - Standard Edition - PlayStation 3,1041856993,FBA,0,10,0,14.82,148.23
art of rally collector's edition - Nintendo Switch,1071133149,FBA,0,10,0,33.00,330.00
The Sims 4 - Xbox One,1039345443,FBA,0,9,0,13.72,123.51
MLB The Show 22 for PlayStation 4,1071453881,FBA,0,9,0,22.04,198.33
My Universe: Puppies and Kittens - PlayStation 4,1071379580,FBA,0,8,0,9.55,76.40
LEGO Harry Potter: Years 5-7 - Playstation 3,1043651512,FBA,0,8,0,15.20,121.63
Just Dance 4 - Nintendo Wii U,1041418978,FBA,0,8,0,26.92,215.33
Kinect Rush: A Disney Pixar Adventure - Xbox 360,1068811430,FBA,0,7,0,22.32,156.21
Major League Baseball 2K11 - PlayStation 2,1071453875,FBA,0,7,0,6.88,48.16
The Evil Within 2 - PlayStation 4,SL-PUBB-W1F6,FBA,0,6,0,18.50,110.98
Monster Energy Supercross 5 - PlayStation 5,1071133144,FBA,0,6,0,16.95,101.70
Miraculous: Rise of the Sphinx - PlayStation 5,1071379588,FBA,0,6,0,14.94,89.65
