month,source_row,asin,sku,is_game,age_tier,units_charged,cost
2025-09,1,B08NMQNSX3,1068329365,True,181-210,2,0.02
2025-09,2,B07KN77NXY,1068329356,True,211-240,18,0.22
2025-09,3,B07T3Y9GKN,1067489114,False,271-300,1,0.51
2025-09,4,B09RRHYD97,1065946288,True,181-210,1,0.01
2025-09,5,B003VN0U1M,1064901508,False,331-365,1,0.22
2025-09,6,B089DFJJGR,1064186110,True,181-210,1,0.01
2025-09,7,B098Y94S29,1064186291,True,181-210,1,0.01
2025-09,8,B01EZA0D8O,1063375652,True,181-210,1,0.01
2025-09,9,B071JCYKK4,1068329376,True,211-240,1,0.01
2025-09,10,B01HIZGKOE,1068329413,True,211-240,1,0.01
2025-09,11,B096WVJ9Q4,1068329357,True,211-240,3,0.03
2025-09,12,B08NMQNSX3,1068329365,True,211-240,2,0.03
2025-09,13,B07KN77NXY,1068329356,True,181-210,4,0.02
2025-09,14,B07T3Y9GKN,1067489114,False,301-330,3,1.59
2025-09,15,B00BSELY9I,1066662989,True,331-365,1,0.06
2025-09,16,B002BDTZU0,1066393116,False,365+,10,9.06
2025-09,17,B09RRHYD97,1065946288,True,211-240,2,0.02
2025-09,18,B097PJX3Z9,1065946896,True,301-330,4,0.21
2025-09,19,B0BPYW4DDB,1065749622,False,365+,2,4.36
2025-09,20,B003VN0U1M,1064901508,False,365+,14,3.65
2025-09,21,B089DFJJGR,1064186110,True,211-240,8,0.10
2025-09,22,B098Y94S29,1064186291,True,211-240,8,0.11
2025-09,23,B004Q2TORS,1063376137,False,365+,4,0.60
2025-09,24,B07XGW61PX,1063375936,True,181-210,1,0.01
2025-09,25,B01EZA0D8O,1063375652,True,211-240,7,0.07
2025-09,26,B00005QI53,1063376373,True,365+,1,0.15
2025-09,27,B07795WNJV,1062959199,False,365+,1,1.49
2025-09,28,B00DRHNLEK,PT-ANK4-X0M5,False,365+,5,1.00
2025-09,29,B0BJ7S8NNN,1060807369,False,365+,2,0.53
2025-09,30,B0BJ7T3642,1060807372,False,365+,1,0.19
2025-09,31,B00DND7H9S,1058619759,False,365+,3,0.45
2025-09,32,B096WVGQMJ,1053589872,True,211-240,2,0.02
2025-09,33,B003OZZJGS,1028571739,True,181-210,1,0.01
2025-10,1,B08NMQNSX3,1068329365,True,241-270,2,0.04
2025-10,2,B09RRHYD97,1065946288,True,241-270,2,0.04
2025-10,3,B098Y94S29,1064186291,True,211-240,1,0.01
2025-10,4,B01EZA0D8O,1063375652,True,181-210,3,0.02
2025-10,5,B096WVJ9Q4,1068329357,True,241-270,3,0.06
2025-10,6,B08NMQNSX3,1068329365,True,211-240,2,0.02
2025-10,7,B07KN77NXY,1068329356,True,211-240,4,0.05
2025-10,8,B07T3Y9GKN,1067489114,False,331-365,3,1.65
2025-10,9,B09RRHYD97,1065946288,True,211-240,1,0.01
2025-10,10,B089DFJJGR,1064186110,True,211-240,1,0.01
2025-10,11,B098Y94S29,1064186291,True,241-270,8,0.16
2025-10,12,B07XGW61PX,1063375936,True,211-240,1,0.01
2025-10,13,B01EZA0D8O,1063375652,True,211-240,1,0.01
2025-10,14,B096WVGQMJ,1053589872,True,241-270,2,0.03
2025-10,15,B003OZZJGS,1028571739,True,181-210,2,0.01
2025-10,16,B0B18Y88N2,1068866832,True,181-210,2,0.01
2025-10,17,B08PCN2Y3G,1068866834,True,181-210,3,0.03
2025-10,18,B01NAGTKX3,1068866833,True,181-210,1,0.01
2025-10,19,B07XKBZ7F7,1068811466,True,181-210,1,0.00
2025-10,20,B0BSNX28Y4,1068811441,True,181-210,5,0.04
2025-10,21,B00XWQZPQ8,1068811431,True,181-210,1,0.01
2025-10,22,B00ZS80PC2,1067893319,True,181-210,2,0.02
2025-10,23,B01M2UALEJ,1068811465,True,181-210,1,0.01
2025-10,24,B07SL77MHX,1068811473,False,181-210,30,0.09
2025-10,25,B002I0JGDM,1068811424,True,181-210,1,0.01
2025-10,26,B08JHP4Q7Y,1068811462,True,181-210,2,0.02
2025-10,27,B09FCXXGT5,1068811453,True,181-210,8,0.01
2025-10,28,B0CGY48TGT,1068811429,True,181-210,7,0.07
2025-10,29,B071JCYKK4,1068329376,True,181-210,1,0.01
2025-10,30,B01HIZGKOE,1068329413,True,241-270,1,0.02
2025-10,31,B096WVJ9Q4,1068329357,True,181-210,12,0.09
2025-10,32,B08NMQNSX3,1068329365,True,181-210,4,0.04
2025-10,33,B07KN77NXY,1068329356,True,241-270,18,0.31
2025-10,34,B07T3Y9GKN,1067489114,False,301-330,1,0.53
2025-10,35,B002BDTZU0,1066393116,False,365+,10,9.07
2025-10,36,B09RRHYD97,1065946288,True,181-210,3,0.03
2025-10,37,B097PJX3Z9,1065946896,True,331-365,3,0.16
2025-10,38,B003VN0U1M,1064901508,False,365+,15,3.91
2025-10,39,B089DFJJGR,1064186110,True,241-270,8,0.15
2025-10,40,B098Y94S29,1064186291,True,181-210,2,0.01
2025-10,41,B08HQ4XV5G,1064185858,True,181-210,1,0.00
2025-10,42,B004Q2TORS,1063376137,False,365+,4,0.60
2025-10,43,B07XGW61PX,1063375936,True,181-210,4,0.02
2025-10,44,B01EZA0D8O,1063375652,True,241-270,7,0.12
2025-10,45,B00DRHNLEK,PT-ANK4-X0M5,False,365+,5,1.00
2025-10,46,B0BJ7S8NNN,1060807369,False,365+,2,0.53
2025-10,47,B0BJ7T3642,1060807372,False,365+,1,0.19
2025-10,48,B00DND7H9S,1058619759,False,365+,3,0.45
2025-10,49,B096WVGQMJ,1053589872,True,181-210,4,0.03
2025-10,50,B075MSL3BV,1047886637,True,181-210,2,0.01
2025-10,51,B01GWGX74Q,1043846177,True,181-210,1,0.01
2025-10,52,B0088I8M10,1041721114,True,181-210,1,0.00
2025-10,53,B07DDD9CPN,1041418871,True,181-210,9,0.09
2025-10,54,B003LDKIUA,1041266555,True,181-210,1,0.01
2025-10,55,B082QL63JB,1037691479,True,181-210,6,0.05
2025-10,56,B07B9XCN31,1037334887,True,181-210,1,0.00
2025-10,57,B071G5JJDW,1035764639,True,181-210,1,0.01
2025-10,58,B003OZZJGS,1028571739,True,211-240,1,0.01
2025-11,1,B08NMQNSX3,1068329365,True,211-240,4,0.05
2025-11,2,B07SL77MHX,1068811473,False,181-210,7,0.01
2025-11,3,B08JHP4Q7Y,1068811462,True,181-210,2,0.02
2025-11,4,B096WVJ9Q4,1068329357,True,211-240,12,0.17
2025-11,5,B08NMQNSX3,1068329365,True,181-210,1,0.01
2025-11,6,B09RRHYD97,1065946288,True,211-240,3,0.03
2025-11,7,B097PJX3Z9,1065946896,True,365+,2,0.30
2025-11,8,B098Y94S29,1064186291,True,271-300,7,0.54
2025-11,9,B07XGW61PX,1063375936,True,241-270,1,0.02
2025-11,10,B01EZA0D8O,1063375652,True,211-240,3,0.03
2025-11,11,B096WVGQMJ,1053589872,True,211-240,4,0.04
2025-11,12,B003OZZJGS,1028571739,True,241-270,1,0.02
2025-11,13,B09D2J1Y9G,1069286306,True,181-210,1,0.00
2025-11,14,B0BPPQWQW2,1069286282,True,181-210,7,0.06
2025-11,15,B0BSJZQK5L,1069286287,True,181-210,2,0.01
2025-11,16,B08J4P22MF,1069286292,True,181-210,2,0.02
2025-11,17,B0009WPZPY,1069286297,True,181-210,6,0.06
2025-11,18,B0CHN2DVSX,1069261942,False,181-210,18,0.60
2025-11,19,B0B18Y88N2,1068866832,True,211-240,2,0.01
2025-11,20,B08PCN2Y3G,1068866834,True,211-240,2,0.04
2025-11,21,B01NAGTKX3,1068866833,True,211-240,1,0.01
2025-11,22,B07XKBZ7F7,1068811466,True,211-240,1,0.01
2025-11,23,B0BSNX28Y4,1068811441,True,211-240,4,0.04
2025-11,24,B00XWQZPQ8,1068811431,True,211-240,1,0.01
2025-11,25,B00ZS80PC2,1067893319,True,211-240,2,0.02
2025-11,26,B0BV9NKGJ4,1068811478,False,181-210,1,0.14
2025-11,27,B01M2UALEJ,1068811465,True,211-240,1,0.01
2025-11,28,B07SL77MHX,1068811473,False,211-240,29,0.24
2025-11,29,B002I0JGDM,1068811424,True,211-240,1,0.01
2025-11,30,B08JHP4Q7Y,1068811462,True,211-240,2,0.03
2025-11,31,B09FCXXGT5,1068811453,True,211-240,8,0.07
2025-11,32,B0CGY48TGT,1068811429,True,211-240,6,0.08
2025-11,33,B071JCYKK4,1068329376,True,211-240,1,0.01
2025-11,34,B096WVJ9Q4,1068329357,True,271-300,3,0.24
2025-11,35,B08NMQNSX3,1068329365,True,271-300,3,0.24
2025-11,36,B07KN77NXY,1068329356,True,271-300,22,1.36
2025-11,37,B07T3Y9GKN,1067489114,False,331-365,1,0.55
2025-11,38,B08GR4GNRK,1066662845,True,181-210,1,0.01
2025-11,39,B002BDTZU0,1066393116,False,365+,10,9.08
2025-11,40,B09RRHYD97,1065946288,True,271-300,2,0.12
2025-11,41,B097PJX3Z9,1065946896,True,331-365,1,0.05
2025-11,42,B003VN0U1M,1064901508,False,365+,13,3.39
2025-11,43,B089DFJJGR,1064186110,True,271-300,9,0.60
2025-11,44,B098Y94S29,1064186291,True,211-240,2,0.03
2025-11,45,B08HQ4XV5G,1064185858,True,211-240,1,0.01
2025-11,46,B004Q2TORS,1063376137,False,365+,4,0.60
2025-11,47,B07XGW61PX,1063375936,True,211-240,4,0.05
2025-11,48,B01EZA0D8O,1063375652,True,271-300,8,0.48
