asin,age_tier,cost,unit_assessments,months
B07KN77NXY,456+,17.50,50,4
B07KN77NXY,366-455,17.10,57,4
B000L422L0,366-455,5.69,19,1
B0748VH8ZF,366-455,4.20,14,2
B01EZA0D8O,366-455,3.60,12,2
B08JHP4Q7Y,366-455,3.60,14,5
B0CGY48TGT,366-455,2.40,8,3
B097PJX3Z9,456+,2.10,6,3
B0BRNY8987,366-455,1.80,6,3
B07KN77NXY,331-365,1.60,24,2
B08JHP4Q7Y,456+,1.40,4,2
B07KN77NXY,271-300,1.36,22,1
B000L422L0,301-330,1.34,23,2
B07KN77NXY,301-330,1.30,20,1
B000L422L0,331-365,1.30,22,2
B000L422L0,271-300,1.26,24,2
B00ZS80PC2,366-455,1.20,4,2
B0748VH8ZF,331-365,1.10,14,2
B0748VH8ZF,271-300,1.07,15,3
B01EZA0D8O,271-300,1.02,17,4
B097PJX3Z9,365+,0.90,6,3
B071JCYKK4,366-455,0.90,3,3
B01EZA0D8O,331-365,0.80,12,4
B0CGY48TGT,456+,0.70,2,2
B01EZA0D8O,301-330,0.63,10,2
B089DFJJGR,271-300,0.60,9,1
B075MSL3BV,271-300,0.60,10,2
B00XWQZPQ8,366-455,0.60,2,2
B002I0JGDM,366-455,0.60,2,2
B0BSJZQK5L,366-455,0.60,2,1
B098Y94S29,271-300,0.54,7,1
B07RQ33XDG,271-300,0.48,6,2
B08JHP4Q7Y,331-365,0.42,8,4
B08JHP4Q7Y,271-300,0.40,6,3
B0BSJZQK5L,331-365,0.35,5,3
B075MSL3BV,331-365,0.35,5,1
B07KN77NXY,241-270,0.31,18,1
B000L422L0,241-270,0.31,24,2
B01M2UALEJ,366-455,0.30,1,1
B08GR4GNRK,366-455,0.30,1,1
B00ZS80PC2,271-300,0.28,4,2
B08JHP4Q7Y,301-330,0.28,5,3
B08J4P22MF,331-365,0.28,4,2
B07KN77NXY,211-240,0.27,22,2
B000L422L0,211-240,0.25,25,2
B07RQ33XDG,301-330,0.25,3,2
B096WVJ9Q4,271-300,0.24,3,1
B08NMQNSX3,271-300,0.24,3,1
B003OZZJGS,271-300,0.24,3,2
B0CGY48TGT,271-300,0.24,3,1
B003OZZJGS,301-330,0.24,3,2
B0CGY48TGT,301-330,0.24,3,1
B071G5JJDW,271-300,0.24,4,2
B0CGY48TGT,331-365,0.24,3,1
B071G5JJDW,331-365,0.24,4,2
B00BSELY9I,271-300,0.24,4,1
B01EZA0D8O,241-270,0.23,13,3
B0BRNY8987,331-365,0.23,4,2
B0748VH8ZF,241-270,0.22,11,2
B0BRNY8987,271-300,0.22,4,2
B097PJX3Z9,301-330,0.21,4,1
B097PJX3Z9,331-365,0.21,4,2
B00XWQZPQ8,331-365,0.21,3,3
B08GR4GNRK,331-365,0.21,3,3
B096WVJ9Q4,211-240,0.20,15,2
B0BSJZQK5L,301-330,0.20,3,2
B0BSJZQK5L,271-300,0.19,3,2
B00XWQZPQ8,271-300,0.18,3,3
B082QL63JB,271-300,0.18,3,1
B00KTNU40E,271-300,0.18,3,2
B07RQ33XDG,331-365,0.18,2,2
B098Y94S29,241-270,0.16,8,1
B000L422L0,181-210,0.16,25,2
B0748VH8ZF,301-330,0.16,2,1
B098Y94S29,211-240,0.15,11,3
B00005QI53,365+,0.15,1,1
B089DFJJGR,241-270,0.15,8,1
B00ZS80PC2,331-365,0.15,2,1
B0CGY48TGT,241-270,0.14,7,2
B00ZS80PC2,301-330,0.14,2,1
