transaction_id,posted_date,category,description,transaction_type,shipment_id,cost_usd
bp159g459a3MbbvQbyPprjUryFoqYHZEcM_3Pxjh5Ys,2026-01-27T03:32:49Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA196VBNQDT,10.21
R6i1jXRXkipd8ET4h5LEXf5xrA5mqiU5N3yMl1czwds,2026-01-19T11:57:09Z,aged,FBALongTermStorageBilling,ServiceFee,,21.96
G55Yrngax6KOmrs8MDkXVZzIlD9fS27wMpLHZxLFjNE,2026-01-11T11:15:12Z,placement,FBAInboundConvenience,ServiceFee,FBA193S8T5SQ,38.15
yIWSY7652qpMuhNO4GMHqO1fZSwAu1s37ieWf34g8vw,2026-01-08T02:28:45Z,storage,FBAStorageBilling,ServiceFee,,61.8
5CtksSMVp--6EdRixOCNlvWwweH3Z-clbyzbCX0edqI,2026-01-03T20:25:06Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA195N82J1M,24.06
4b4_tCxWPmw0q5LJA-hewrfp7ZB4EJukDApSj6PWUrE,2026-01-03T20:24:32Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA195N7MQKC,4.68
m8oBEdFHHhWY0jlRzAVflO0OkyzI6szMwP738pWRGZQ,2025-12-24T15:14:08Z,placement,FBAInboundConvenience,ServiceFee,FBA1932C0WHF,47.2
jJXfVrx65KuEIWPHnd3k66-AaXinnwo_rGuDn2dMUys,2025-12-22T01:14:33Z,placement,FBAInboundConvenience,ServiceFee,FBA192XM3VMS,36.86
X6wJUR5DoVpc2l8k0lfbDrdQELYZUaFjCJmqMM__vVQ,2025-12-21T20:06:40Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA1954T2D8T,56.86
MywQZnBJ4HE856VcOtgvkWLUVoywq6bncXdc7ioFnCc,2025-12-19T11:33:59Z,aged,FBALongTermStorageBilling,ServiceFee,,19.8
7NwRcbiFYEKX_Z9LMCrc-x4akWhZ_89NvjWGC0w38y4,2025-12-08T06:23:49Z,storage,FBAStorageBilling,ServiceFee,,69.39
0bUxgFf26qBSedUcPn2FWI4GyVgS9bC7udUNstnAiSU,2025-11-19T19:39:10Z,aged,FBALongTermStorageBilling,ServiceFee,,21.72
z7gUmIdUMxmq3RvwtLi2NOm52VRl3pKJG9CIGt_Pq9w,2025-11-17T21:16:44Z,placement,FBAInboundConvenience,ServiceFee,FBA191XV4S35,37.77
3vjGcnGp3Dx8d0CxotfU5GTc9OvxXXaUk8LTiBQbcks,2025-11-17T21:16:14Z,placement,FBAInboundConvenience,ServiceFee,FBA191XV4S35,8.0
x6FKF8jhuidyrSLkWxJy5o9C5sJ-sEmyMfz3QGo-PSY,2025-11-17T21:09:04Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA193S8T5SQ,12.61
wn5OFluUjx5Z3mBlsIR--ogn0GOtGg-ddWcNvUV0Rr0,2025-11-07T17:50:17Z,storage,FBAStorageBilling,ServiceFee,,59.55
9YIf36eOV-FG1pwTdCCzu-FokP7j8yJIxG3M5kOiNTo,2025-11-05T21:14:08Z,placement,FBAInboundConvenience,ServiceFee,FBA1917P95D6,30.1
ckfIF79fp9w1I5RRBWGlhJolLngyJFVnDUI53owfzvM,2025-11-03T21:16:12Z,placement,FBAInboundConvenience,ServiceFee,FBA1917PD127,12.06
PO7etUzeoNdzDYI9n_jacfiL9h9z1vr76vBmRWTZcH0,2025-10-30T22:00:36Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA1932C0WHF,84.95
NK_QcjIBEjLbNBGtbsR5ssVPUUkZCCMJqsxhGFUAJQ4,2025-10-27T01:28:27Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA192XM3VMS,31.72
Rgf8x3e8hUoukC-ITF6xPz7lFvgBZnJZ9iYO3Q5__ZQ,2025-10-20T06:12:41Z,aged,FBALongTermStorageBilling,ServiceFee,,19.88
z3l7w0i8mjxBkOkkTrF7Uvnsn8vGEEjNaoAk9N9VAVc,2025-10-07T16:40:14Z,storage,FBAStorageBilling,ServiceFee,,18.52
XQd83qwoAy2aq93XUDBN2qVKaAXXvQX9y06t_puDU94,2025-09-28T23:58:38Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA191XV4S35,64.61
KYrntwce1HV8aAeYyGYwiLLd4rPMrI7y-3xwCKC5SPk,2025-09-26T13:14:36Z,placement,FBAInboundConvenience,ServiceFee,FBA18ZSVSP3G,11.76
sq50p9HsZD24rEMXGjsFJx_3IN0HhvGxwcsDWLqmiAw,2025-09-26T12:16:07Z,placement,FBAInboundConvenience,ServiceFee,FBA18ZT6M8QQ,10.88
sAV55SaSh1u_bTv_IDnHVAucQ7OWf30p0c2WhNV1rGs,2025-09-26T12:15:25Z,placement,FBAInboundConvenience,ServiceFee,FBA18ZT6M8QQ,57.02
J64VBEREdR67t_KlP0fMgbHzgfmLKsibhC8jzrNyL00,2025-09-19T12:39:15Z,aged,FBALongTermStorageBilling,ServiceFee,,24.78
JTGnupi2dalKC7eD0FhO24MyKYb3oyS3aZNchyyIVZg,2025-09-12T23:24:12Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA1917P95D6,51.09
S-UrwXJtQmt7QAbZ_kCbEvij8US9rodD_qDrZgO8-Rs,2025-09-12T23:23:48Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA1917PD127,8.23
rPUL-WfjLlgs4N9Kmjsm55Tg7X3S_JWUWfAc3xMzFmw,2025-09-07T19:48:27Z,storage,FBAStorageBilling,ServiceFee,,18.4
3d62fP3usKZNqF6dmogDT9cAh4xRVxIA930XAHn_hBc,2025-09-06T09:14:10Z,placement,FBAInboundConvenience,ServiceFee,FBA18Z5C3Y9H,11.52
sxWHGDs61W2-XK5ab8uscTn2wnjl69zonrYAv49fGtU,2026-06-29T23:31:40Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA19H2820Z4,13.53
Hm0WQsfB7Dd5UkUL3oxV57DBQ2_V5-9-wqPkiqrw1gk,2026-06-21T22:50:39Z,aged,FBALongTermStorageBilling,ServiceFee,,28.73
XlUA6bhD54UhJKO4bENxxKb9A5_g55_eAotq_Sg4Qu4,2026-06-13T08:14:32Z,placement,FBAInboundConvenience,ServiceFee,FBA19C4407V9,32.72
uSmMWpgU5E0LmnWdRR4PdMj3qPZV51t_TcRMWpuoOrw,2026-06-07T15:41:11Z,storage,FBAStorageBilling,ServiceFee,,15.48
GgfbWD_gL3jR-vpatSYXwxTmatCE_wVs2U8fQplEzko,2026-06-06T07:13:01Z,placement,FBAInboundConvenience,ServiceFee,FBA19BV189C6,50.54
sBzxaAO_CkV8tpUXRDR5oNUZfZGZ7ROgacC4Kjfrglc,2026-06-05T23:57:26Z,storage_adjustment,FBAStorageFeeAdjustment,MiscellaneousLedgerAdjustment,,-0.02
ABKWMhshtciGFaY9M_Ybb9NpCXga4z0tXr0fWdy6GjU,2026-06-01T01:53:22Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA19F8YW7CV,60.29
I6QKFU1JwpWXqML5o0YxEmknphWBBN3058k7LkTNSz4,2026-05-31T09:14:26Z,placement,FBAInboundConvenience,ServiceFee,FBA19B4P1VRJ,60.22
8dznoCUnkTbWEuF_0E8oxqct7VFC0Qz1yJKZ2gK_REM,2026-05-29T18:36:37Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA19F55XZJG,53.65
I-qCf7fiwdM_RBtP8iC0g25kWDdk9YnW4HxNKcR-Sh8,2026-05-19T23:52:18Z,aged,FBALongTermStorageBilling,ServiceFee,,27.97
gwhSrf-AyzPBuPdf0fxqO3bIYX4CCQiSYRVsoMo_1wU,2026-05-18T09:13:25Z,placement,FBAInboundConvenience,ServiceFee,FBA199D5JYNB,28.28
64z8sL2ewp1Wn8MC_Kwc_1rOSUu46xX-FKYVJPi8MRg,2026-05-18T09:13:18Z,placement,FBAInboundConvenience,ServiceFee,FBA199D5JYNB,0.96
qTAjtcVTpcfUEngTltfg6F9NUtMf0h7F3i3IspNgOJo,2026-05-08T06:24:16Z,storage,FBAStorageBilling,ServiceFee,,18.36
fIlkvBSXA5Jx0adCvmf4BTCR1bXv6Zvx_U_kxPB4XK8,2026-04-29T19:15:08Z,placement,FBAInboundConvenience,ServiceFee,FBA198NXJD7N,19.56
QH0qRW7NY97RzpmiQGqLwiMNA7KZ_8r-yTPvBQS_jEA,2026-04-29T19:15:03Z,placement,FBAInboundConvenience,ServiceFee,FBA198NXJD7N,54.88
osLk7bBEU-gzTikesUeqQ0Yk0FPkzksmNW7NirRZJck,2026-04-24T22:41:44Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA19C4407V9,37.06
KNtjDWGzMikyUEWQd2V6nJIhd_cOhjfhAvd10TolC2I,2026-04-20T23:37:07Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA19BV189C6,11.19
MVRJT2K7qh2_VutpnM8LaBo1yINjrUY5bCXIWXQ3kBo,2026-04-19T11:31:17Z,aged,FBALongTermStorageBilling,ServiceFee,,34.13
KPXpGumW2RHgK3t9wgHtUneHHrxEySz3wW86m3uQsMM,2026-04-08T04:46:10Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA19B4P1VRJ,13.31
jMWg6rkPYAmOw6DHa5W5GnedkdwGXY8LXd_cqOhC0XM,2026-04-08T04:14:55Z,placement,FBAInboundConvenience,ServiceFee,FBA197SVNSVG,20.64
btjZbYf6Ox-QBTh6CPuBJ5yB14xO0kMbyTrwRwwywrw,2026-04-07T19:12:34Z,storage,FBAStorageBilling,ServiceFee,,20.82
ETXtzAC7iaIyPjFh81De9BI_rxGtCfnOu9Nnjpv0qII,2026-04-02T23:27:10Z,placement,FBAInboundConvenience,ServiceFee,FBA197KFC6S3,34.02
7Tni8zhJyK1rp3WPDXBal26Fp8iwR9XcKUHMz5ysO0k,2026-03-25T03:19:12Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA199D5JYNB,29.19
HghX966Qlcj0QCaE0jPjltzTT5-Z61nv6arK0upuh9Y,2026-03-19T11:38:02Z,aged,FBALongTermStorageBilling,ServiceFee,,37.71
PKk9L1X8dpqSEiX1h4vPOaa3XaQzeE4E00_j3GhZANA,2026-03-14T16:15:01Z,placement,FBAInboundConvenience,ServiceFee,FBA196VBNQDT,48.62
