shipment_id,shipment_date,finalized_or_plan_created,first_charge_date,units,mbop_header_units,header_unit_difference,game_units,unmapped_units,quantity_source,game_weight_share,boxes,carrier_name,selected_quote,carrier,placement,combined,carrier_per_unit,placement_per_unit,combined_per_unit
FBA18Z5C3Y9H,,,2025-09-06,54,,,0,0,Amazon legacy shipment items,0E+3,,,,,11.52,,,0.2133333333333333333333333333,
FBA18ZSVSP3G,,,2025-09-26,24,,,0,0,Amazon legacy shipment items,0E+2,,,,,11.76,,,0.49,
FBA18ZT6M8QQ,,,2025-09-26,424,,,419,0,Amazon legacy shipment items,,,,,,67.90,,,0.1601415094339622641509433962,
FBA1917P95D6,,,2025-09-12,70,,,0,0,Amazon legacy shipment items,0E+2,,,,51.09,30.1,81.19,0.7298571428571428571428571429,0.43,1.159857142857142857142857143
FBA1917PD127,,,2025-09-12,10,,,0,0,Amazon legacy shipment items,0E+2,,,,8.23,12.06,20.29,0.823,1.206,2.029
FBA191XV4S35,,,2025-09-28,275,,,240,0,Amazon legacy shipment items,0.8056755089450956199876619371,,,,64.61,45.77,110.38,0.2349454545454545454545454545,0.1664363636363636363636363636,0.4013818181818181818181818182
FBA192XM3VMS,,,2025-10-27,229,,,220,0,Amazon legacy shipment items,0.8882311153208619464835425053,,,,31.72,36.86,68.58,0.1385152838427947598253275109,0.1609606986899563318777292576,0.2994759825327510917030567686
FBA1932C0WHF,,,2025-10-30,140,,,0,0,Amazon legacy shipment items,0E+3,,,,84.95,47.2,132.15,0.6067857142857142857142857143,0.3371428571428571428571428571,0.9439285714285714285714285714
FBA193S8T5SQ,,,2025-11-17,124,,,113,0,Amazon legacy shipment items,0.7945716709075487701441899915,,,,12.61,38.15,50.76,0.1016935483870967741935483871,0.3076612903225806451612903226,0.4093548387096774193548387097
FBA1954T2D8T,,,2025-12-21,48,,,0,0,Amazon legacy shipment items,0E+2,,,,56.86,24.22,81.08,1.184583333333333333333333333,0.5045833333333333333333333333,1.689166666666666666666666667
FBA195N7MQKC,,,2026-01-03,1,,,1,0,Amazon legacy shipment items,1,,,,4.68,3.12,7.80,4.68,3.12,7.80
FBA195N82J1M,,,2026-01-03,211,,,193,0,Amazon legacy shipment items,,,,,24.06,64.71,88.77,0.1140284360189573459715639810,0.3066824644549763033175355450,0.4207109004739336492890995261
FBA196VBNQDT,,2026-01-26 02:13:55+00,2026-01-27,160,160,0,153,0,stored Amazon box contents,0.9492707672796448953709575143,1,UPS,10.21,10.21,48.62,58.83,0.0638125,0.303875,0.3676875
