month,rows,asins,average_units,game_asins,game_average_units,base_cost,utilization_surcharge,report_total,posted_next_month,reconciliation_difference,game_base_cost,game_monthly_rate
2025-09,559,165,747.13,129,539.81,18.51950,0.0,18.51950,18.52,0.00050,5.22270,0.009675070858264945073266519701
2025-10,969,228,848.60,183,626.70,59.55110,0.0,59.55110,59.55,-0.00110,21.52910,0.03435311951491941917983086006
2025-11,1142,276,895.24,229,629.63,69.38780,0.0,69.38780,69.39,0.00220,18.71410,0.02972237663389609770817781872
2025-12,687,224,651.28,180,380.55,61.80050,0.0,61.80050,61.8,-0.00050,11.57580,0.03041860465116279069767441860
2026-01,863,307,666.50,255,402.52,18.77930,0.0,18.77930,18.78,0.00070,4.50780,0.01119894663619199046010136142
2026-02,1084,328,789.57,282,546.90,18.41000,0.0,18.41000,18.41,0.00000,6.07870,0.01111482903638690802706162004
2026-03,1084,362,826.85,313,578.49,20.81940,0.0,20.81940,20.82,0.00060,6.20250,0.01072187937561582741274697920
2026-04,1696,479,923.20,422,740.23,18.35980,0.0,18.35980,18.36,0.00020,7.91470,0.01069221728381719195385218108
2026-05,932,380,852.28,337,711.98,15.47970,0.0,15.47970,15.48,0.00030,8.14560,0.01144077080816876878564004607
2026-06,1229,404,884.94,362,732.40,16.12960,0.0,16.12960,16.13,0.00040,8.31850,0.01135786455488803932277444020
2026-07,976,376,864.37,337,748.52,13.54080,0.0,13.54080,13.54,-0.00080,7.68330,0.01026465558702506279057339817
2026-08,1192,467,1010.76,420,848.90,16.43060,0.0,16.43060,16.43,-0.00060,8.69320,0.01024054658970432324184238426
