order_id,sku,transaction_id,posted_date,transaction_status,transaction_type,description,fee_type,signed_amount_usd
112-8916418-5646604,1051249032,7z02BXS2R2DeTmgxwbOqoTmlUJKH1C4Q6ffZj8-lgAY,2026-08-23T23:27:42Z,RELEASED,Refund,Refund,Commission,5.25
112-8916418-5646604,1051249032,7z02BXS2R2DeTmgxwbOqoTmlUJKH1C4Q6ffZj8-lgAY,2026-08-23T23:27:42Z,RELEASED,Refund,Refund,RefundCommission,-1.05
112-8916418-5646604,1051249032,uqCR_-8WaNrOfMosjFoCW8dLKYMDhnTXYPJq8hmtRAc,2026-08-22T14:49:20Z,RELEASED,Shipment,Order Payment,FBAPerUnitFulfillmentFee,-6.9
112-8916418-5646604,1051249032,uqCR_-8WaNrOfMosjFoCW8dLKYMDhnTXYPJq8hmtRAc,2026-08-22T14:49:20Z,RELEASED,Shipment,Order Payment,Commission,-5.25
111-1373847-8589055,1058392679,TRSWtWRJRr3ULtCVjAmZIdYC-BMLgtIU-R-zK6cAKzk,2026-07-31T18:46:49Z,RELEASED,Shipment,Order Payment,FBAPerUnitFulfillmentFee,-4.76
111-1373847-8589055,1058392679,TRSWtWRJRr3ULtCVjAmZIdYC-BMLgtIU-R-zK6cAKzk,2026-07-31T18:46:49Z,RELEASED,Shipment,Order Payment,Commission,-3.75
111-1373847-8589055,1058392679,p1GKVk5IYGVpdwPUZuLhI35BRiHRzIva_Xo_trS4ESI,2026-08-24T21:27:27Z,RELEASED,Refund,Refund,Commission,3.75
111-1373847-8589055,1058392679,p1GKVk5IYGVpdwPUZuLhI35BRiHRzIva_Xo_trS4ESI,2026-08-24T21:27:27Z,RELEASED,Refund,Refund,RefundCommission,-0.75
111-4933767-5091420,1071881588,I8Pw5jNZHnh3NGaEsWIwtpfldTz87vWIpy8ILdl44l0,2026-08-17T08:39:00Z,RELEASED,Refund,Refund,Commission,5.57
111-4933767-5091420,1071881588,I8Pw5jNZHnh3NGaEsWIwtpfldTz87vWIpy8ILdl44l0,2026-08-17T08:39:00Z,RELEASED,Refund,Refund,RefundCommission,-1.11
111-4933767-5091420,1071881588,I8Pw5jNZHnh3NGaEsWIwtpfldTz87vWIpy8ILdl44l0,2026-08-17T08:39:00Z,RELEASED,Refund,Refund,VariableClosingFee,1.8
111-4933767-5091420,1071881588,wycGnfEXECQSq80ibGTHng-1wy7zZCGeHg7tbnBBYZM,2026-08-17T09:05:20Z,RELEASED,Shipment,Order Payment,FBAPerUnitFulfillmentFee,-3.54
111-4933767-5091420,1071881588,wycGnfEXECQSq80ibGTHng-1wy7zZCGeHg7tbnBBYZM,2026-08-17T09:05:20Z,RELEASED,Shipment,Order Payment,Commission,-5.57
111-4933767-5091420,1071881588,wycGnfEXECQSq80ibGTHng-1wy7zZCGeHg7tbnBBYZM,2026-08-17T09:05:20Z,RELEASED,Shipment,Order Payment,VariableClosingFee,-1.8
