order_id,sku,asin,fnsku,title,is_video_game,system,classification_source,original_condition,current_sku_condition,sale_date,return_date,quantity,sold_line_quantity,lpn,fulfillment_center,raw_disposition,raw_reason,raw_status,economic_outcome,case_id,unit_cost,cost_source,sale_price_per_unit,original_revenue_line,customer_refund_line,gross_fees_per_returned_unit,fee_credits_per_returned_unit,original_fba_fee_per_returned_unit,original_referral_fee_per_returned_unit,fba_fee_credit_per_returned_unit,referral_fee_credit_per_returned_unit,refund_admin_fee_per_returned_unit,return_processing_fee_per_returned_unit,removal_fee_per_returned_unit,net_transaction_cost,reimbursement,reimbursement_ids,reimbursement_inventory_units,known_recovery_value,known_impairment,known_loss_excluding_unknown_impairment,zero_recovery_loss_known_basis,reconciliation_status,cohort_in_period,return_in_period,bucket,currently_sellable_evidence,currently_unsellable_evidence,downstream_state,candidate_removal_ids_not_unit_links,candidate_removal_rows,downstream_case_state,downstream_case_decision
111-4933767-5091420,1071881588,B001989B4S,X0056ERGK3,Fight Night Round 4 - Xbox 360 [Xbox 360],True,Xbox 360,Title/platform heuristic,,11,2026-08-08,2026-08-30,1,1,LPNPMGH1484746,LAS2,CUSTOMER_DAMAGED,DEFECTIVE,Unit returned to inventory,unsellable_recovery_unknown,,,missing,37.16,37.16,37.16,12.02,7.37,3.54,5.57,0,5.57,1.11,0,0,4.65,0,,0,,,4.65,,posted_fees_reconciled,True,True,B. Unsellable / unfulfillable,False,True,No linked downstream evidence,,0,,
111-5032509-7193856,0P-5ID2-BBYB,B0030CV356,X001C3Z4MT,UFC Undisputed 2010 - Xbox 360 [Xbox 360],True,Xbox 360,Title/platform heuristic,,11,2026-07-22,2026-08-24,1,1,LPNNH66KYC53T,CHA1,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,sellable,,,missing,19.31,19.31,19.31,8.82,4.7,3.54,2.9,0,2.9,0.58,0,0,4.12,0,,0,,0,4.12,4.12,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
114-2323654-4155469,1067108762,B003O6E986,X004FENI2Z,Forza 4 [Xbox 360],True,Xbox 360,Title/platform heuristic,,11,2026-07-13,2026-08-18,1,1,LPNAC736965644,IND8,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,sellable,,25.76,inventorylab_legacy,50.90,50.9,50.9,14.78,9.44,3.81,7.64,0,7.64,1.53,0,0,5.34,0,,0,,0,5.34,5.34,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
111-4120513-7743422,1039345443,B0748VH8ZF,X002T12TNF,The Sims 4 - Xbox One [Xbox One],True,Xbox One,Title/platform heuristic,,11,2026-07-26,2026-08-15,1,1,LPNNG6S51M1XR,CHA1,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,sellable,,13.72,inventorylab_legacy,31.31,31.31,31.31,10.98,6.5,3.54,4.7,0,4.7,0.94,0,0,4.48,0,,0,,0,4.48,4.48,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
114-2013151-8423447,1071881587,B002I0JFCO,X0056EVFHX,EA Sports Active 2 - Xbox 360 [Xbox 360],True,Xbox 360,Title/platform heuristic,,11,2026-07-27,2026-08-14,1,1,LPNNG68HCGHKD,LEX1,CUSTOMER_DAMAGED,NOT_AS_DESCRIBED,Unit returned to inventory,unsellable_recovery_unknown,9c6d368e-6479-4420-aa35-10efd500b7c6,,missing,52.99,52.99,52.99,17.63,9.75,6.29,7.95,0,7.95,1.59,0,0,7.88,0,,0,,,7.88,,posted_fees_reconciled,True,True,B. Unsellable / unfulfillable,False,True,"Inspected; awaiting eBay listing, proceeds unknown",H9dRqg7avM,1,ready_for_ebay_listing,sell_on_ebay
114-6114668-1948266,1071517338,B01LYGJRVP,X00530NTB5,Assassin's Creed The Ezio Collection - Xbox One [Xbox One],True,Xbox One,Title/platform heuristic,,11,2026-07-17,2026-08-11,1,1,LPNAC947485288,PGA1,CUSTOMER_DAMAGED,DEFECTIVE,Unit returned to inventory,unsellable_recovery_unknown,f3e0581f-a3a8-4c63-8b8d-53d028dbcb46,21.95,inventorylab_legacy,45.34,45.34,45.34,13.50,8.6,3.54,6.8,0,6.8,1.36,0,0,4.90,0,,0,,,4.90,26.85,posted_fees_reconciled,True,True,B. Unsellable / unfulfillable,False,True,Inspected wrong item; reimbursement review unresolved,gV0FSY2L3R,1,reimbursement_review,needs_review
113-9758583-1627429,1071517344,B085PS9F4H,X00530O98H,Persona 5 Royal: Standard Edition - PlayStation 4 [PlayStation 4],True,PlayStation 4,Title/platform heuristic,,11,2026-07-24,2026-08-10,1,1,LPNAC996138390,LEX2,CUSTOMER_DAMAGED,DAMAGED_BY_FC,Unit returned to inventory,unsellable_recovery_unknown,d635e58d-7a90-4d59-9a92-fb910a33b24f,,missing,49.96,49.96,49.96,14.33,9.29,3.54,7.49,0,7.49,1.5,0,0,5.04,0,,0,,,5.04,,posted_fees_reconciled,True,True,B. Unsellable / unfulfillable,False,True,"Inspected; awaiting eBay listing, proceeds unknown",gV0FSY2L3R,1,ready_for_ebay_listing,sell_on_ebay
111-5346337-2463406,1045151360,B00ZPT59YS,X0032AG889,Sea of Thieves: Standard Edition - Xbox One [Xbox One],True,Xbox One,Title/platform heuristic,,11,2026-07-10,2026-08-05,1,1,LPNO581505323,PHX6,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,sellable,,,missing,41.99,41.99,41.99,12.90,8.1,3.54,6.3,0,6.3,1.26,0,0,4.80,0,,0,,0,4.80,4.80,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
113-6973476-5369034,1068811430,B006ZPAYMI,X004LNJ15N,Kinect Rush: A Disney Pixar Adventure - Xbox 360 [Xbox 360],True,Xbox 360,Title/platform heuristic,,11,2026-07-09,2026-07-31,1,1,LPNNG6X68YVGG,CHA1,SELLABLE,NOT_COMPATIBLE,Unit returned to inventory,sellable,,22.32,inventorylab_legacy,45.41,45.41,45.41,13.51,8.61,3.54,6.81,0,6.81,1.36,0,0,4.90,0,,0,,0,4.90,4.90,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
111-6302874-8153001,1036663472,B0026FCARI,X002OLEBNV,Scooby Doo First Frights - Nintendo Wii [Nintendo Wii],True,Nintendo Wii,Title/platform heuristic,,11,2026-06-22,2026-07-30,1,1,LPNRRJL0108065,EWR7,SELLABLE,NO_REASON_GIVEN,Unit returned to inventory,sellable,,22.10,inventorylab_legacy,34.96,34.96,34.96,11.66,7.04,3.57,5.24,0,5.24,1.05,0,0,4.62,0,,0,,0,4.62,4.62,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
