asin,title,units_sold,return_rate,small_sample,raw_unsellable_units,unsellable_after_inspection_units,units,share_of_returns,fee_reconciled_units,net_transaction_cost,mean_transaction_cost,median_transaction_cost,basis_known_units,basis_missing_units,known_inventory_basis,average_known_basis,known_reimbursements,known_recovery_proceeds,known_inventory_impairment,unknown_impairment_units,known_economic_loss_components,known_components_per_observed_return,known_components_per_sold_game,known_basis_with_unknown_recovery,zero_recovery_known_components
B000FII8KQ,Tekken 6 [PlayStation 3],8,0.125,True,0,0,1,0.010101010101010102,1,4.96,4.96,4.96,1,0,24.66,24.66,0,,0,0,4.96,4.96,0.002210338680926916221033868093,0,4.96
B000TPTCR8,Amf Bowling Pinbusters - Nintendo Wii [Nintendo Wii],3,0.3333333333333333,True,0,0,1,0.010101010101010102,1,4.16,4.16,4.16,0,1,0,,0,,0,0,4.16,4.16,0.001853832442067736185383244207,0,4.16
B001989B4S,Fight Night Round 4 - Xbox 360 [Xbox 360],5,0.2,True,1,1,1,0.010101010101010102,1,4.65,4.65,4.65,0,1,0,,0,,0,1,4.65,4.65,0.002072192513368983957219251337,0,4.65
B0026FCARI,Scooby Doo First Frights - Nintendo Wii [Nintendo Wii],5,0.2,True,0,0,1,0.010101010101010102,1,4.62,4.62,4.62,1,0,22.10,22.10,0,,0,0,4.62,4.62,0.002058823529411764705882352941,0,4.62
B002I0JFCO,EA Sports Active 2 - Xbox 360 [Xbox 360],1,1.0,True,1,1,1,0.010101010101010102,1,7.88,7.88,7.88,0,1,0,,0,,0,1,7.88,7.88,0.003511586452762923351158645276,0,7.88
B002I0JGDM,Fable III - Xbox 360 [Xbox 360],1,1.0,True,1,1,1,0.010101010101010102,1,4.44,4.44,4.44,1,0,12.99,12.99,0,,0,1,4.44,4.44,0.001978609625668449197860962567,12.99,17.43
B0030CV356,UFC Undisputed 2010 - Xbox 360 [Xbox 360],7,0.14285714285714285,True,0,0,1,0.010101010101010102,1,4.12,4.12,4.12,0,1,0,,0,,0,0,4.12,4.12,0.001836007130124777183600713012,0,4.12
B003O6E986,Forza 4 [Xbox 360],10,0.1,True,0,0,1,0.010101010101010102,1,5.34,5.34,5.34,1,0,25.76,25.76,0,,0,0,5.34,5.34,0.002379679144385026737967914439,0,5.34
B003ZHMMEM,Donkey Kong Country Returns [Nintendo Wii],7,0.14285714285714285,True,0,0,1,0.010101010101010102,1,4.86,4.86,4.86,0,1,0,,0,,0,0,4.86,4.86,0.002165775401069518716577540107,0,4.86
B0042GW7CC,Namco Museum Megamix [Nintendo Wii],3,0.3333333333333333,True,0,0,1,0.010101010101010102,1,4.36,4.36,4.36,1,0,11.12,11.12,0,,0,0,4.36,4.36,0.001942959001782531194295900178,0,4.36
B004FUI84G,Prototype 2 PS3 - PlayStation 3 [PlayStation 3],8,0.125,True,0,0,1,0.010101010101010102,1,4.64,4.64,4.64,1,0,19.16,19.16,0,,0,0,4.64,4.64,0.002067736185383244206773618538,0,4.64
B00503E9UO,Call of Duty: Modern Warfare 3 - Nintendo Wii [Nintendo Wii],2,0.5,True,1,1,1,0.010101010101010102,1,4.01,4.01,4.01,1,0,13.73,13.73,0,,0,1,4.01,4.01,0.001786987522281639928698752228,13.73,17.74
B006ZPAYMI,Kinect Rush: A Disney Pixar Adventure - Xbox 360 [Xbox 360],11,0.18181818181818182,True,0,0,2,0.020202020202020204,2,9.55,4.775,4.775,2,0,44.64,22.32,0,,0,0,9.55,4.775,0.004255793226381461675579322638,0,9.55
B00B98HF1O,"Lego: Marvel Super Heroes, XBOX 360 [Xbox 360]",3,0.3333333333333333,True,0,0,1,0.010101010101010102,1,4.15,4.15,4.15,0,1,0,,0,,0,0,4.15,4.15,0.001849376114081996434937611408,0,4.15
B00DBF813Y,Final Fantasy XV - Xbox One [Xbox One],5,0.2,True,0,0,1,0.010101010101010102,1,4.25,4.25,4.25,1,0,13.70,13.70,0,,0,0,4.25,4.25,0.001893939393939393939393939394,0,4.25
B00DC7G2W8,Mario Kart 8 - Wii U [Nintendo Wii U],2,0.5,True,1,0,1,0.010101010101010102,1,5.33,5.33,5.33,1,0,29.02,29.02,0,,0,0,5.33,5.33,0.002375222816399286987522281640,0,5.33
B00FM5IY4W,Forza Motorsport 5 [Xbox One],5,0.4,True,1,1,2,0.020202020202020204,2,9.61,4.805,4.805,0,2,0,,0,,0,1,9.61,4.805,0.004282531194295900178253119430,0,9.61
B00KLMOY4K,Plants vs Zombies Garden Warfare(Online Play Required) - PlayStation 4 [PlayStation 4],33,0.21212121212121213,False,4,4,7,0.0707070707070707,6,25.38,4.23,4.21,7,0,87.50,12.50,0,,0,4,25.38,3.625714285714285714285714286,0.01131016042780748663101604278,50.00,75.38
B00KWFCV32,Splatoon [Nintendo Wii U],4,0.75,True,1,1,3,0.030303030303030304,3,13.97,4.656666666666666666666666667,4.62,3,0,83.82,27.94,0,,0,1,13.97,4.656666666666666666666666667,0.006225490196078431372549019608,27.94,41.91
B00MU1YEZY,Call of Duty: Advanced Warfare - PlayStation 4 [PlayStation 4],1,1.0,True,1,0,1,0.010101010101010102,1,4.65,4.65,4.65,1,0,17.15,17.15,0,,0,0,4.65,4.65,0.002072192513368983957219251337,0,4.65
B00YC7ED0K,FIFA 16 - Standard Edition - PlayStation 3 [PlayStation 3],8,0.125,True,0,0,1,0.010101010101010102,1,4.37,4.37,4.37,1,0,14.82,14.82,0,,0,0,4.37,4.37,0.001947415329768270944741532977,0,4.37
B00ZJBSW2S,TrackMania Turbo - Xbox One [Xbox One],1,1.0,True,0,0,1,0.010101010101010102,1,4.16,4.16,4.16,1,0,10.42,10.42,0,,0,0,4.16,4.16,0.001853832442067736185383244207,0,4.16
B00ZPT59YS,Sea of Thieves: Standard Edition - Xbox One [Xbox One],7,0.2857142857142857,True,1,1,2,0.020202020202020204,2,9.43,4.715,4.715,0,2,0,,0,,0,1,9.43,4.715,0.004202317290552584670231729055,0,9.43
B014N4RTS4,YO-KAI WATCH - 3DS [Nintendo 3DS],7,0.2857142857142857,True,0,0,2,0.020202020202020204,2,10.33,5.165,5.165,1,1,25.00,25.00,0,,0,0,10.33,5.165,0.004603386809269162210338680927,0,10.33
B01AC3ZD06,Nintendo Selects: Super Mario 3D World - Wii U Standard Edition [Nintendo Wii U],47,0.06382978723404255,False,1,1,3,0.030303030303030304,3,14.13,4.71,4.71,1,2,15.71,15.71,0,,0,1,14.13,4.71,0.006296791443850267379679144385,0,14.13
B01B298Q0S,Teenage Mutant Ninja Turtles: Mutants in Manhattan - Xbox One [Xbox One],2,0.5,True,0,0,1,0.010101010101010102,1,5.13,5.13,5.13,0,1,0,,0,,0,0,5.13,5.13,0.002286096256684491978609625668,0,5.13
B01GVN0D1U,Resident Evil 7 Biohazard (Xbox One) [Xbox One],14,0.07142857142857142,True,0,0,1,0.010101010101010102,1,4.32,4.32,4.32,0,1,0,,0,,0,0,4.32,4.32,0.001925133689839572192513368984,0,4.32
B01IW7Z746,Nintendo Selects: Nintendo Land - Wii U [Nintendo Wii U],4,0.25,True,1,1,1,0.010101010101010102,1,5.37,5.37,5.37,0,1,0,,0,,0,1,5.37,5.37,0.002393048128342245989304812834,0,5.37
B01LYGJRVP,Assassin's Creed The Ezio Collection - Xbox One [Xbox One],2,0.5,True,1,1,1,0.010101010101010102,1,4.90,4.90,4.90,1,0,21.95,21.95,0,,0,1,4.90,4.90,0.002183600713012477718360071301,21.95,26.85
B01N9QVIRV,Switch Title 3 - [Nintendo Switch],41,0.04878048780487805,True,0,0,2,0.020202020202020204,2,9.38,4.69,4.69,2,0,50.04,25.02,0,,0,0,9.38,4.69,0.004180035650623885918003565062,0,9.38
B071G5JJDW,Monster Hunter: World - Xbox One Standard Edition [Xbox One],5,0.2,True,1,1,1,0.010101010101010102,1,4.47,4.47,4.47,1,0,17.97,17.97,0,,0,1,4.47,4.47,0.001991978609625668449197860963,17.97,22.44
B072MKR1P5,Forza Motorsport 7 - Standard Edition - Xbox One [Xbox One],2,0.5,True,1,1,1,0.010101010101010102,1,5.69,5.69,5.69,0,1,0,,0,,0,1,5.69,5.69,0.002535650623885918003565062389,0,5.69
B0748VH8ZF,The Sims 4 - Xbox One [Xbox One],11,0.09090909090909091,True,0,0,1,0.010101010101010102,1,4.48,4.48,4.48,1,0,13.72,13.72,0,,0,0,4.48,4.48,0.001996434937611408199643493761,0,4.48
B078HH451K,Adventure Time: Pirates of the Enchiridion - PlayStation 4 Edition [PlayStation 4],2,0.5,True,0,0,1,0.010101010101010102,1,4.61,4.61,4.61,0,1,0,,0,,0,0,4.61,4.61,0.002054367201426024955436720143,0,4.61
B0794QSXP5,Dragon Ball Fighterz - Xbox One [Xbox One],12,0.08333333333333333,True,0,0,1,0.010101010101010102,1,4.89,4.89,4.89,1,0,21.38,21.38,0,,0,0,4.89,4.89,0.002179144385026737967914438503,0,4.89
B07D8KQJ8J,Battlefield V Deluxe Edition - PlayStation 4 [PlayStation 4],1,1.0,True,1,1,1,0.010101010101010102,1,5.45,5.45,5.45,1,0,17.39,17.39,0,,0,1,5.45,5.45,0.002428698752228163992869875223,17.39,22.84
B07D8KZ5NK,Team Sonic Racing - PlayStation 4 [PlayStation 4],5,0.2,True,1,1,1,0.010101010101010102,1,4.74,4.74,4.74,1,0,22.39,22.39,0,,0,1,4.74,4.74,0.002112299465240641711229946524,22.39,27.13
B07DDD9CPN,Just Dance 2019 - Wii Standard Edition [Nintendo Wii],12,0.08333333333333333,True,0,0,1,0.010101010101010102,1,4.83,4.83,4.83,1,0,27.80,27.80,0,,0,0,4.83,4.83,0.002152406417112299465240641711,0,4.83
B07DJY4FRP,Gears 5: Standard Edition - Xbox One [Xbox One],11,0.2727272727272727,True,0,0,3,0.030303030303030304,3,13.94,4.646666666666666666666666667,4.65,3,0,58.05,19.35,0,,0,0,13.94,4.646666666666666666666666667,0.006212121212121212121212121212,0,13.94
B07DQ43VFQ,NBA 2K19 - Nintendo Switch [Nintendo Switch],6,0.16666666666666666,True,0,0,1,0.010101010101010102,1,4.59,4.59,4.59,1,0,18.33,18.33,0,,0,0,4.59,4.59,0.002045454545454545454545454545,0,4.59
B07HFMJ4R5,Minecraft: Starter Collection - Xbox One [Xbox One],48,0.08333333333333333,False,1,1,4,0.04040404040404041,4,18.87,4.7175,4.535,4,0,93.96,23.49,0,,0,1,18.87,4.7175,0.008409090909090909090909090909,23.49,42.36
B07L6PV2GJ,Katamari Damacy Reroll - Nintendo Switch [Nintendo Switch],3,0.3333333333333333,True,1,1,1,0.010101010101010102,1,4.74,4.74,4.74,0,1,0,,0,,0,1,4.74,4.74,0.002112299465240641711229946524,0,4.74
B07RP42TMG,Tom Clancy's Ghost Recon Breakpoint - Xbox One [Xbox One],4,0.25,True,0,0,1,0.010101010101010102,1,3.98,3.98,3.98,0,1,0,,0,,0,0,3.98,3.98,0.001773618538324420677361853832,0,3.98
B07SSD8V81,Baldur's Gate: Enhanced Edition - Xbox One [Xbox One],2,0.5,True,1,0,1,0.010101010101010102,1,6.81,6.81,6.81,0,1,0,,0,,0,0,6.81,6.81,0.003034759358288770053475935829,0,6.81
B07VWCR94W,WWE 2K20 - PlayStation 4 [PlayStation 4],10,0.1,True,0,0,1,0.010101010101010102,1,4.58,4.58,4.58,1,0,16.19,16.19,0,,0,0,4.58,4.58,0.002040998217468805704099821747,0,4.58
B07X35GXG3,Nighthawk Interactive Disney Classic Games: Aladdin and The Lion King - Nintendo Switch,5,0.2,True,1,1,1,0.010101010101010102,1,4.35,4.35,4.35,0,1,0,,0,,0,1,4.35,4.35,0.001938502673796791443850267380,0,4.35
