reason,raw_sellable_units,raw_unsellable_units,sellable_after_inspection_share,unsellable_after_inspection_share,units,share_of_returns,fee_reconciled_units,net_transaction_cost,mean_transaction_cost,median_transaction_cost,basis_known_units,basis_missing_units,known_inventory_basis,average_known_basis,known_reimbursements,known_recovery_proceeds,known_inventory_impairment,unknown_impairment_units,known_economic_loss_components,known_components_per_observed_return,known_components_per_sold_game,known_basis_with_unknown_recovery,zero_recovery_known_components
DAMAGED_BY_CARRIER,0,1,0.0,1.0,1,0.010101010101010102,0,0,,,1,0,12.50,12.50,0,,0,1,0,0,0,12.50,12.50
DAMAGED_BY_FC,0,5,0.2,0.8,5,0.050505050505050504,4,19.88,4.97,4.89,3,2,54.72,18.24,0,,0,4,19.88,3.976,0.008859180035650623885918003565,37.57,57.45
DEFECTIVE,0,9,0.0,1.0,9,0.09090909090909091,8,35.43,4.42875,4.565,5,4,108.67,21.734,0,,0,9,35.43,3.936666666666666666666666667,0.01578877005347593582887700535,108.67,144.10
FOUND_BETTER_PRICE,1,1,0.5,0.5,2,0.020202020202020204,2,8.84,4.42,4.42,2,0,37.52,18.76,0,,0,1,8.84,4.42,0.003939393939393939393939393939,12.50,21.34
MISSED_ESTIMATED_DELIVERY,2,0,1.0,0.0,2,0.020202020202020204,2,9.75,4.875,4.875,2,0,38.28,19.14,0,,0,0,9.75,4.875,0.004344919786096256684491978610,0,9.75
MISSING_PARTS,0,1,0.0,1.0,1,0.010101010101010102,1,4.74,4.74,4.74,0,1,0,,0,,0,1,4.74,4.74,0.002112299465240641711229946524,0,4.74
NOT_AS_DESCRIBED,6,7,0.5384615384615384,0.46153846153846156,13,0.13131313131313133,13,66.78,5.136923076923076923076923077,4.79,8,5,142.54,17.8175,0,,0,6,66.78,5.136923076923076923076923077,0.02975935828877005347593582888,59.93,126.71
NOT_COMPATIBLE,8,5,0.6923076923076923,0.3076923076923077,13,0.13131313131313133,13,62.46,4.804615384615384615384615385,4.69,10,3,190.59,19.059,0,,0,4,62.46,4.804615384615384615384615385,0.02783422459893048128342245989,16.44,78.90
NO_REASON_GIVEN,2,0,1.0,0.0,2,0.020202020202020204,2,8.50,4.25,4.25,1,1,22.10,22.10,0,,0,0,8.50,4.25,0.003787878787878787878787878788,0,8.50
ORDERED_WRONG_ITEM,20,3,0.8695652173913043,0.13043478260869565,23,0.23232323232323232,22,103.29,4.695,4.63,12,11,265.33,22.11083333333333333333333333,40.20,,0,3,63.09,2.743043478260869565217391304,0.02811497326203208556149732620,34.89,97.98
SWITCHEROO,1,0,1.0,0.0,1,0.010101010101010102,1,5.52,5.52,5.52,0,1,0,,0,,0,0,5.52,5.52,0.002459893048128342245989304813,0,5.52
UNDELIVERABLE_UNKNOWN,5,0,1.0,0.0,5,0.050505050505050504,5,22.77,4.554,4.58,3,2,58.41,19.47,0,,0,0,22.77,4.554,0.01014705882352941176470588235,0,22.77
UNWANTED_ITEM,20,2,0.9090909090909091,0.09090909090909091,22,0.2222222222222222,21,97.03,4.620476190476190476190476190,4.40,14,8,269.37,19.24071428571428571428571429,0,,0,2,97.03,4.410454545454545454545454545,0.04323975044563279857397504456,29.74,126.77
