order_id,sku,asin,title,is_video_game,sold_units,sale_date,order_status,classification,same_order_asin_return_match,refund_transactions,last_refund_date,original_principal,refunded_principal,net_refund_cash_outflow,net_transaction_cost,known_original_basis,cost_source,known_basis_at_risk_zero_recovery_only,known_reimbursements,inventory_reimbursement_units,reimbursement_ids,known_inventory_impairment,physical_outcome,fees_less_cash_reimbursement_partial_components
111-2676038-8581067,1052907525,B01N54QSH6,"Harmony Good Dog Ceramic Dog Bowl, 3 Cups",False,1,2026-04-27,Shipped,Full product refund; Amazon reimbursement evidence,False,1,2026-05-15,34.99,34.99,30.79,7.07,7.99,mbop_fifo,7.99,23.72,0,22762364141,,Unknown; no physical return inferred,-16.65
111-3683382-1269016,1052907525,B01N54QSH6,"Harmony Good Dog Ceramic Dog Bowl, 3 Cups",False,1,2026-08-18,Shipped,Full product refund; physical receipt not established,False,1,2026-09-04,34.99,34.99,30.79,7.07,,missing,,0,0,,,Unknown; no physical return inferred,7.07
111-3785763-2048223,1070891243,B00KVL0SIM,Tom Clancy's The Division - PC,True,1,2026-07-04,Shipped,Shipping-only concession; product revenue retained,False,1,2026-07-10,29.56,0,0,0,15.99,inventorylab_legacy,,0,0,,,Unknown; no physical return inferred,0
111-3854262-4222619,1068811441,B0BSNX28Y4,Minecraft Legends Deluxe Edition: Xbox Series X and Xbox One,True,1,2025-12-03,Shipped,Zero-amount refund record; no product refund evidenced,False,1,2026-05-27,41.33,0,0,0,17.10,inventorylab_legacy,,0,0,,,Unknown; no physical return inferred,0
111-5158306-9162638,1043846177,B01GWGX74Q,Just Dance 2017 - Wii,True,1,2025-12-08,Shipped,Shipping-only concession; product revenue retained,False,1,2025-12-18,41.06,0,0,0,20.07,mbop_fifo,,0,0,,,Unknown; no physical return inferred,0
111-7134497-9675438,1070891208,B07FYN3JDL,Nintendo Labo Toy-Con 03: Vehicle Kit - Switch,True,1,2026-06-25,Shipped,Full product refund; physical receipt not established,False,1,2026-07-14,85.0,85.0,73.0,10.86,,missing,,0,0,,,Unknown; no physical return inferred,10.86
111-7210032-8551404,1048894668,B01AC3ZD06,Nintendo Selects: Super Mario 3D World - Wii U Standard Edition,True,1,2025-12-29,Shipped,Full product refund; Amazon reimbursement evidence,False,1,2026-01-10,42.66,42.66,35.74,4.62,,missing,,31.04,0,21301813181,,Unknown; no physical return inferred,-26.42
111-7565756-5727443,1058619763,B01LDFGIT2,Livewire Advantage Instrument Cable 10 ft. Black,False,1,2026-04-03,Shipped,Full product refund; Amazon reimbursement evidence,False,1,2026-04-06,27.99,27.99,24.63,5.04,10.48,inventorylab_legacy,10.48,39.03,0,22289162461;22269164261,,Unknown; no physical return inferred,-33.99
111-9469832-4780231,1048220574,B00KLMOY4K,Plants vs Zombies Garden Warfare(Online Play Required) - PlayStation 4,True,1,2025-12-08,Shipped,Full product refund; Amazon reimbursement evidence,False,1,2025-12-26,28.95,28.95,23.68,4.21,12.50,inventorylab_legacy,12.50,19.39,0,21126645471,,Unknown; no physical return inferred,-15.18
111-9749994-4839451,1067893319,B00ZS80PC2,Final Fantasy VII: Remake - PlayStation 4,True,1,2026-06-09,Shipped,Full product refund; Amazon reimbursement evidence,False,1,2026-06-19,38.66,38.66,32.22,4.73,18.15,inventorylab_legacy,18.15,27.49,0,23018196571,,Unknown; no physical return inferred,-22.76
112-7668621-7140234,1033469009,B01BXAFRT4,Tales from the Borderlands - PlayStation 4,True,1,2026-05-18,Shipped,Full product refund; Amazon reimbursement evidence,False,2,2026-06-05,104.38,104.38,90.05,7.06,29.95,mbop_fifo,29.95,82.99,0,22930899561,,Unknown; no physical return inferred,-75.93
112-8739970-6187450,1068811444,B0C9VW1KGR,EA SPORTS FC 24 - Nintendo Switch,True,1,2025-09-23,Shipped,Full product refund; Amazon reimbursement evidence,False,1,2025-09-28,41.72,41.72,34.91,4.31,,missing,,30.41,0,20068091801,,Unknown; no physical return inferred,-26.10
113-0275446-1617077,1066663084,B00ZJBSCJQ,South Park: The Fractured but Whole - PlayStation 4,True,1,2025-12-08,Shipped,Full product refund; Amazon reimbursement evidence,False,1,2025-12-20,51.01,51.01,43.09,4.87,,missing,,37.88,0,21051907341,,Unknown; no physical return inferred,-33.01
113-0942804-4254627,1071283721,B0CVSJ1JVC,Elden Ring Shadow of the Erdtree - PlayStation 5,True,1,2026-03-17,Shipped,Full product refund; Amazon reimbursement evidence,False,1,2026-04-12,79.95,79.95,68.56,6.08,40.00,mbop_fifo,40.00,62.35,0,22339348501,,Unknown; no physical return inferred,-56.27
113-1154421-3569065,1044972247,B0060ZN5T2,NEW Just Dance 3 Wii (Videogame Software),True,1,2026-04-22,Shipped,Full product refund; Amazon reimbursement evidence,False,1,2026-05-03,36.95,36.95,30.72,4.65,17.60,inventorylab_legacy,17.60,26.07,0,22598710791,,Unknown; no physical return inferred,-21.42
113-1336992-3782667,1064901190,B09D643D8F,Call of Duty: Vanguard,True,1,2025-11-29,Shipped,Full product refund; Amazon reimbursement evidence,False,1,2025-12-15,49.42,49.42,41.69,4.82,,missing,,36.79,0,20981577391,,Unknown; no physical return inferred,-31.97
113-3649416-8117865,1035888642,B00D8S4GNS,Just Dance 2014 - Xbox 360,True,1,2026-06-02,Shipped,Shipping-only concession; product revenue retained,False,1,2026-06-08,31.29,0,0,0,13.99,inventorylab_legacy,,0,0,,,Unknown; no physical return inferred,0
113-5401610-2219436,1066663861,B08F3CXZJQ,Minecraft Dungeons Hero Edition - Nintendo Switch,True,1,2025-10-21,Shipped,Full product refund; Amazon reimbursement evidence,False,1,2025-10-29,69.47,69.47,59.33,5.33,,missing,,54.00,0,20432744681,,Unknown; no physical return inferred,-48.67
113-6224717-5330600,UV-TWJI-REH4,B00CYS5DU8,Madden NFL 25 - PlayStation 4 [PlayStation 4],True,1,2026-08-28,Shipped,Shipping-only concession; product revenue retained,False,1,2026-09-07,0,0,0,0,,missing,,0,0,,,Unknown; no physical return inferred,0
113-7194202-9668240,1065749622,B0BPYW4DDB,Rustic Pistol Table Lamp - Realistic Novelty Outdoor Lamp - Tabletop Lantern w/ Brushed Black Finish & Gold Detailing - Gun Decorations for Man Cave -,False,1,2026-01-01,Shipped,Full product refund; Amazon reimbursement evidence,False,1,2026-02-10,47.08,47.08,41.43,9.19,19.99,mbop_fifo,19.99,0,1,21635126531,,Unknown; no physical return inferred,9.19
114-0633397-3817065,T3-947R-WAMU,B0086V5UEG,Just Dance 4,False,1,2025-12-08,Shipped,Shipping-only concession; product revenue retained,False,1,2025-12-15,23.49,0,0,0,9.49,mbop_fifo,,0,0,,,Unknown; no physical return inferred,0
114-6544877-7266636,1059471790,B07SK56TM6,Marvel's Avengers - Xbox One,True,1,2025-11-27,Shipped,Full product refund; Amazon reimbursement evidence,False,1,2025-12-16,25.23,25.23,20.41,4.10,,missing,,16.23,0,20998459121,,Unknown; no physical return inferred,-12.13
114-7077511-7184203,1028571739,B003OZZJGS,Gold's Gym Dance Workout - Nintendo Wii,True,1,2026-02-24,Shipped,Full product refund; Amazon reimbursement evidence,False,1,2026-03-03,20.73,20.73,16.44,4.04,9.31,mbop_fifo,9.31,12.28,0,21898846371,,Unknown; no physical return inferred,-8.24
114-8175408-3889822,1067108753,B09GJP8BPZ,Fortnite Minty Legends Pack(code in Box),True,1,2026-05-21,Shipped,Full product refund; Amazon reimbursement evidence,False,1,2026-05-31,77.06,77.06,66.01,6.02,39.99,inventorylab_legacy,39.99,59.99,0,22906843751,,Unknown; no physical return inferred,-53.97
114-8730937-8505867,1068949078,B07YZ4QVZY,Sniper Ghost Warrior: Contracts PS4 [PlayStation 4],True,1,2026-07-26,Shipped,Full product refund; physical receipt not established,False,1,2026-08-27,29.66,29.66,24.3,4.43,14.00,inventorylab_legacy,14.00,0,0,,,Unknown; no physical return inferred,4.43
114-9220056-7003458,1066393104,B09YMP944F,"Cora Organic Applicator Tampons | Super Absorbency | 100% Cotton Core, Unscented, BPA-Free Compact Applicator | Leak Protection, Easy Insertion and Re",False,2,2025-10-20,Shipped,Full product refund; Amazon reimbursement evidence,False,2,2025-11-11,12.24,12.24,11.46,6.98,15.30,mbop_fifo,15.30,4.48,0,20587339361;20582649891,,Unknown; no physical return inferred,2.50
