order_id,sku,transaction_id,posted_date,customer_principal_refund,net_refund_fee_credit,status
111-2676038-8581067,1052907525,7JwtpoHMjC21N735R9PEZapgiaT7xbUDodQM9FfTKJg,2026-05-15T03:41:17Z,34.99,4.20,Posted refund without physical-return report match; not counted as a returned unit
111-3683382-1269016,1052907525,sx0zC9P6-XRB-woPl9i_3--SeeoWy4fbhW-XRxQb3L8,2026-09-04T22:03:14Z,34.99,4.20,Posted refund without physical-return report match; not counted as a returned unit
111-3785763-2048223,1070891243,IUXxpZo9xdCdsjKyONYL-eR_1-PoSfmQDALanzHSYeM,2026-07-10T17:25:40Z,0,6.99,Posted refund without physical-return report match; not counted as a returned unit
111-3854262-4222619,1068811441,LlPoagqpaLkJVAozLk4iX3jvV8QaBy51-Bu58SkMRxI,2026-05-27T07:46:20Z,0,0,Posted refund without physical-return report match; not counted as a returned unit
111-5158306-9162638,1043846177,etCU4765EKaHPSrscqgWXufgMeQqcau8WJ8K4lYJEFY,2025-12-18T18:35:10Z,0,3.5,Posted refund without physical-return report match; not counted as a returned unit
111-7134497-9675438,1070891208,VVtDROmx5ozqVYZLIw59Gqoia4h95iqCtio9WE6THpI,2026-07-14T05:56:33Z,85.0,12.00,Posted refund without physical-return report match; not counted as a returned unit
111-7210032-8551404,1048894668,MuU8T0AB_csCF_rEY68pcDwOE-RoE9B02dZTS1kcME4,2026-01-10T08:06:42Z,42.66,6.92,Posted refund without physical-return report match; not counted as a returned unit
111-7565756-5727443,1058619763,lNo1rdYoYHvvdh6pYkAPA2X4FcUVcEl7GZJNKAlG8YI,2026-04-06T20:41:03Z,27.99,3.36,Posted refund without physical-return report match; not counted as a returned unit
111-9469832-4780231,1048220574,MQd02jGT82V0KbS66CrODBOpxIaidyZobQFFmlFGpXA,2025-12-26T08:12:23Z,28.95,5.27,Posted refund without physical-return report match; not counted as a returned unit
111-9749994-4839451,1067893319,9BzTUEUJger1u1rpz9fwMTD_26NDu0QdnFh4kNXshdw,2026-06-19T12:46:04Z,38.66,6.44,Posted refund without physical-return report match; not counted as a returned unit
112-7668621-7140234,1033469009,1DSLboQDu79pvGm0UfOPWiaj8DSSprcSdgvKiTyNyFw,2026-06-05T08:31:31Z,104.38,14.33,Posted refund without physical-return report match; not counted as a returned unit
112-7668621-7140234,1033469009,d_Rbq56O3Qa8Z-dEIjxAk35uoi_4mHPI0ABjG6asVGE,2026-05-28T20:47:30Z,0,0,Posted refund without physical-return report match; not counted as a returned unit
