order_id,sku,asin,fnsku,title,is_video_game,system,classification_source,original_condition,current_sku_condition,sale_date,return_date,quantity,sold_line_quantity,lpn,fulfillment_center,raw_disposition,raw_reason,raw_status,economic_outcome,case_id,unit_cost,cost_source,sale_price_per_unit,original_revenue_line,customer_refund_line,gross_fees_per_returned_unit,fee_credits_per_returned_unit,original_fba_fee_per_returned_unit,original_referral_fee_per_returned_unit,fba_fee_credit_per_returned_unit,referral_fee_credit_per_returned_unit,refund_admin_fee_per_returned_unit,return_processing_fee_per_returned_unit,removal_fee_per_returned_unit,net_transaction_cost,reimbursement,reimbursement_ids,reimbursement_inventory_units,known_recovery_value,known_impairment,known_loss_excluding_unknown_impairment,zero_recovery_loss_known_basis,reconciliation_status,cohort_in_period,return_in_period
112-8916418-5646604,1051249032,B01N1GRUUC,X003BJR6E1,"Harmony Good Dog Ceramic Dog Bowl, 6 Cups",False,Unclassified,No reliable game match,,11,2026-08-01,2026-09-01,1,1,LPNPMGU3198266,HOU3,CUSTOMER_DAMAGED,DAMAGED_BY_CARRIER,Unit returned to inventory,unsellable_recovery_unknown,,10.99,inventorylab_legacy,34.99,34.99,34.99,13.20,5.25,6.9,5.25,0,5.25,1.05,0,0,7.95,0,,0,,,7.95,18.94,posted_fees_reconciled,True,False
111-1373847-8589055,1058392679,B01N03NM02,X003UAD6P9,"Harmony Good Dog Ceramic Dog Bowl, 1 Cup",False,Unclassified,No reliable game match,,11,2026-07-20,2026-08-31,1,1,LPNNG6LQ7QW13,LEX1,CUSTOMER_DAMAGED,NOT_AS_DESCRIBED,Unit returned to inventory,unsellable_recovery_unknown,,5.99,inventorylab_legacy,24.97,24.97,24.97,9.26,3.75,4.76,3.75,0,3.75,0.75,0,0,5.51,0,,0,,,5.51,11.50,posted_fees_reconciled,True,True
111-4933767-5091420,1071881588,B001989B4S,X0056ERGK3,Fight Night Round 4 - Xbox 360 [Xbox 360],True,Xbox 360,Title/platform heuristic,,11,2026-08-08,2026-08-30,1,1,LPNPMGH1484746,LAS2,CUSTOMER_DAMAGED,DEFECTIVE,Unit returned to inventory,unsellable_recovery_unknown,,,missing,37.16,37.16,37.16,12.02,7.37,3.54,5.57,0,5.57,1.11,0,0,4.65,0,,0,,,4.65,,posted_fees_reconciled,True,True
111-9874566-1673838,1058392679,B01N03NM02,X003UAD6P9,"Harmony Good Dog Ceramic Dog Bowl, 1 Cup",False,Unclassified,No reliable game match,,11,2026-08-23,2026-08-30,1,1,LPNGSAT3158775,LAS2,CUSTOMER_DAMAGED,UNWANTED_ITEM,Unit returned to inventory,unsellable_recovery_unknown,,5.99,inventorylab_legacy,24.94,24.94,24.94,9.25,3.74,4.76,3.74,0,3.74,0.75,0,0,5.51,0,,0,,,5.51,11.50,posted_fees_reconciled,True,True
111-3987729-1478644,1051249032,B01N1GRUUC,X003BJR6E1,"Harmony Good Dog Ceramic Dog Bowl, 6 Cups",False,Unclassified,No reliable game match,,11,2026-08-23,2026-08-30,1,1,LPNGSAT3158774,LAS2,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,sellable,,10.99,inventorylab_legacy,34.99,34.99,34.99,13.20,5.25,6.9,5.25,0,5.25,1.05,0,0,7.95,0,,0,,0,7.95,7.95,posted_fees_reconciled,True,True
112-7064235-1422657,1063162590,B0B8VV9VXW,X0044NAO79,Taos Footwear Women's Captain Brown Boot 9-9.5 (M) US,False,Unclassified,No reliable game match,,11,2026-07-15,2026-08-26,1,1,LPNO613287117,PHX6,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,sellable,,58.29,inventorylab_legacy,143.91,143.91,143.91,38.08,21.59,7.98,21.59,0,21.59,4.32,4.19,0,16.49,0,,0,,0,16.49,16.49,posted_fees_reconciled,True,True
111-5032509-7193856,0P-5ID2-BBYB,B0030CV356,X001C3Z4MT,UFC Undisputed 2010 - Xbox 360 [Xbox 360],True,Xbox 360,Title/platform heuristic,,11,2026-07-22,2026-08-24,1,1,LPNNH66KYC53T,CHA1,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,sellable,,,missing,19.31,19.31,19.31,8.82,4.7,3.54,2.9,0,2.9,0.58,0,0,4.12,0,,0,,0,4.12,4.12,posted_fees_reconciled,True,True
113-4354002-8211419,1058392679,B01N03NM02,X003UAD6P9,"Harmony Good Dog Ceramic Dog Bowl, 1 Cup",False,Unclassified,No reliable game match,,11,2026-07-10,2026-08-22,1,1,LPNGSAJ1946114,LEX1,SELLABLE,POOR_FIT,Unit returned to inventory,sellable,,5.99,inventorylab_legacy,24.97,24.97,24.97,9.26,3.75,4.76,3.75,0,3.75,0.75,0,0,5.51,0,,0,,0,5.51,5.51,posted_fees_reconciled,True,True
114-2323654-4155469,1067108762,B003O6E986,X004FENI2Z,Forza 4 [Xbox 360],True,Xbox 360,Title/platform heuristic,,11,2026-07-13,2026-08-18,1,1,LPNAC736965644,IND8,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,sellable,,25.76,inventorylab_legacy,50.90,50.9,50.9,14.78,9.44,3.81,7.64,0,7.64,1.53,0,0,5.34,0,,0,,0,5.34,5.34,posted_fees_reconciled,True,True
111-4120513-7743422,1039345443,B0748VH8ZF,X002T12TNF,The Sims 4 - Xbox One [Xbox One],True,Xbox One,Title/platform heuristic,,11,2026-07-26,2026-08-15,1,1,LPNNG6S51M1XR,CHA1,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,sellable,,13.72,inventorylab_legacy,31.31,31.31,31.31,10.98,6.5,3.54,4.7,0,4.7,0.94,0,0,4.48,0,,0,,0,4.48,4.48,posted_fees_reconciled,True,True
