dimension,value,title,units_sold,returned_units_observed,return_rate,fee_reconciled_units,basis_known_units,gross_fees_reconciled,fee_credits_reconciled,net_transaction_cost_reconciled,reimbursements_linked,known_impairment,known_economic_components_partial_coverage,known_loss_fee_reconciled_subset,zero_recovery_known_components_plus_known_basis,unknown_impairment_known_basis,unknown_impairment_missing_basis_units,mean_transaction_cost_reconciled,median_transaction_cost_reconciled,mean_known_loss_fee_reconciled,known_cost_per_unit_sold_partial_coverage,zero_recovery_cost_per_unit_sold_partial_coverage,full_maximum_loss,original_fba_fees,original_referral_fees,referral_credits,fba_credits,refund_admin_fees,return_processing_fees,removal_fees
asin,B00005BZC7,Shrek 2 - PlayStation 2,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B00005QI53,Freddi Fish Water Worries (Jewel Case) - PC,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B00006F2ZS,Dance Dance Revolution DDR Max,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B00008DHNV,Finding Nemo - PlayStation 2,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B00008KTRS,Shin Megami Tensei: Digital Devil Saga - PlayStation 2,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B00009VE6E,Lord of The Rings: The Return of The King,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0002CHIUQ,Ace Combat 5: The Unsung War,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0002IQCSY,Need for Speed Underground 2 - PlayStation 2,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0002IQOOQ,Dance Dance Revolution Extreme [PlayStation2],1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0006ACWEQ,Ranchmark OpenX Dual Blade Universal Package Opener 7L x 1 1/2H inches,10,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000930DQ4,Harry Potter and the Goblet of Fire - PlayStation 2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0009WPZPY,Mortal Kombat Unchained - Sony PSP,8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0009Z3LGQ,Namco Museum Battle Collection,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000AAZC08,Star Wars Battlefront II (Greatest Hits) - Sony PSP,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000CEXDVW,Blazing Angels Squadrons of WWII - Xbox 360,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000CPKIT6,Command and Conquer the First Decade,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000FII8KQ,Tekken 6 (Greatest Hits) - Playstation 3,8,1,0.125,1,1,13.85,8.89,4.96,0,0,4.96,4.96,4.96,0,0,4.96,4.96,4.96,0.62,0.62,,3.54,7.09,7.09,0,1.42,0,0
asin,B000GCJ6MK,Microsoft Flight Simulator X Deluxe DVD - PC [Windows XP],1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000HGOHWO,Tom Clancy's Rainbow Six Vegas - Playstation 3,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000L422L0,Brooktown High: Senior Year - Sony PSP,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000MTF072,Surfs Up - Playstation 3,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000N4MSAS,Brothers In Arms: Hell's Highway - Playstation 3 [PlayStation 3],1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000NJDKA0,Shrek The Third - Sony PSP [Sony PSP],1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000P0SETO,Madden NFL 08 - Playstation 3,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000PS4XB4,Blazing Angels 2: Secret Missions of WWII - Playstation 3,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000QB059Y,The Simpsons Game [PlayStation2],1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000QB05BM,Mercenaries 2: World in Flames - PC,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000QD7BBM,Carnival Games - Nintendo Wii,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000QJLQCQ,Pinball Hall of Fame: The Williams Collection - Nintendo Wii,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000R3BN42,Thrillville: Off the Rails,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000R3BNDI,Lego Star Wars: The Complete Saga - Nintendo Wii,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000RHZJIO,FIFA 08 - PlayStation 2,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000S1L000,Ultimate Board Game Collection - Nintendo Wii,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000S1MMGQ,Cars: Mater-National Championship,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000SFK0L6,Cabelas Big Game Hunter,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000TEJFK8,Tony Hawk's Proving Ground - PlayStation 2 [PlayStation2],2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000TPTCR8,Amf Bowling Pinbusters - Nintendo Wii,3,1,0.3333333333333333,1,0,10.04,5.88,4.16,0,0,4.16,4.16,4.16,0,0,4.16,4.16,4.16,1.386666666666666666666666667,1.386666666666666666666666667,,3.34,4.08,4.08,0,0.82,0,0
asin,B000WPY4OG,NCAA March Madness 08 - Xbox 360,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000X44XTM,Sega Bass Fishing - Nintendo Wii,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B000ZKBJYG,Lego Batman - Nintendo Wii,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B00104KJ4M,Lego Indiana Jones: The Original Adventures - Nintendo Wii,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B00114XU4M,Incredible Hulk,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0012N3ZXS,Street Fighter IV [Video Game] [2009] Capcom U S A Inc,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0013E9HP6,Wii Play,9,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0014FMHDS,Kung Fu Panda - Playstation 3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B00168ESPI,Deca Sports,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0017ZDGWG,Mortal Kombat vs. DC Universe - Xbox 360,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B00182QCXS,DEAL OR NO DEAL WII [Nintendo Wii],8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B00187VQDO,Tom Clancys H.A.W.X. (Xbox 360) [Xbox 360],1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0018RWMRS,Game Party 2 - Nintendo Wii,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B001989B4S,Fight Night Round 4 - Xbox 360 [Xbox 360],5,1,0.2,1,0,12.02,7.37,4.65,0,0,4.65,4.65,4.65,0,1,4.65,4.65,4.65,0.93,0.93,,3.54,5.57,5.57,0,1.11,0,0
asin,B001ABK1LQ,Guitar Hero World Tour - Playstation 3 (Game only),3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B001AZ7RJ6,Command & Conquer: Red Alert 3 [Xbox 360],1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B001B1W3HA,Carnival Games: MiniGolf - Nintendo Wii,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B001B8Y0CE,The Price is Right - PC,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B001BXA9CE,Rock Band 2 - Nintendo Wii (Game only),1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B001D8PFIK,Sonic and the Black Knight - Nintendo Wii,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B001DO3NEW,Wii Music,15,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B001F03MY0,Rock Band Track Pack: Vol. 2 - PlayStation 2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
