rank,action_id,action_date,dismiss_reason,dismissal_note,asin,amazon_title,amazon_system,ebay_item_id,ebay_title,ebay_condition,ebay_category,ebay_category_ids,seller_username,detected_ebay_platform,game_name,region_code,format,type,features,release_year,stored_recommendation,current_recommendation,current_hard_blocks,current_warnings,pattern,rule_miss_class,evidence_dependency,opportunity_id,candidate_id,snapshot_id
1,3ac0adb6-31ed-4ada-873b-d7582d4d4154,2026-08-01T18:18:22.929535+00:00,non_north_american_version,,B06XDVF3CZ,Gravel - Xbox One,,v1|175694655080|0,Gravel - Microsoft Xbox One,Brand New,Video Games; Video Games & Consoles,139973; 1249,gamezline,Xbox One,Gravel,,,,,,Probable Match,Probable Match,,,non_north_american_version,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,b01163cf-6add-4fb7-81c7-124bc86931c7,4f2756aa-3ebe-403c-af14-c9433c9e81e3,ea8de721-6c2a-4c5e-93e0-0e00105d3845
2,301ac86d-a1de-4c1f-a737-8fd9766984f4,2026-08-01T14:36:12.647999+00:00,wrong_edition_version,,B000Q4SREG,MySims - Nintendo Wii,,v1|267742472061|0,MySims Kingdom  Nintendo Wii 2008 BRAND NEW! FACTORY SEALED!,Brand New,Video Games; Video Games & Consoles,139973; 1249,ai_quoc83,Wii,MySims Kingdom,NTSC-U/C (US/Canada); Japan,,,Manual Included,2008,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,7b9f829c-3867-43ca-b06f-221e269610e6,12686374-27ad-4c78-8628-57715dc1ee6c,954eef74-3d56-4d93-bab7-d3a56fb28536
3,62d9d12e-f611-4068-aeb7-636f144f4d6d,2026-08-01T14:36:12.312628+00:00,wrong_edition_version,,B07JMHZMX1,Minecraft – Xbox One [video game],,v1|206456661716|0,Minecraft Dungeons Hero Edition for Xbox One Series x New Sealed,Brand New,Video Games; Video Games & Consoles,139973; 1249,sephiroth_ff7,Xbox One,Minecraft Dungeons Hero Edition,NTSC-U/C (US/Canada); United States,,,,2020,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,e136a329-cb69-4a0c-a450-c111aedab789,34bf9080-3654-4ee5-88d7-e60ca0891e34,76a9b2a2-0d19-41b8-bbf5-f20a1d88c866
4,89065089-fde9-4160-a143-9ba23ee7123a,2026-08-01T14:36:11.894075+00:00,wrong_edition_version,,B07JMHZMX1,Minecraft – Xbox One [video game],,v1|336711600319|0,Minecraft Legends Xbox One &  Series X|S,Brand New,Video Games; Video Games & Consoles,139973; 1249,robc2100,Xbox One,Legends,Region Free; United States,,,"Online co-op, Online multiplayer, Xbox cross-platform multiplayer, Single player, Xbox Live Cross-Gen Multiplayer, Optimized for Xbox Series X|S",2023,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,b98ce70b-3710-4631-a069-5910b874bb61,fb0666f6-3cae-4c99-985d-d4c564dcf5b2,372f0a97-106a-4a20-922e-963dab3eb66d
5,c962f1f5-4817-4c8f-b8dd-927695f4aa18,2026-08-01T14:35:34.489769+00:00,sales_velocity_too_low,,B000FW362C,Avatar: The Last Airbender - Nintendo Wii,,v1|137551757808|0,Avatar The Last Airbender Nintendo Wii NEW SEALED Brand New Factory Sealed Game,Brand New,Video Games; Video Games & Consoles,139973; 1249,nyc_base,Wii,Avatar: The Last Airbender,NTSC-U/C (US/Canada); United States,,,Manual Included,2006,Probable Match,Probable Match,,,sales_velocity_too_low,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,58f6cf31-7a0a-4a34-a7c3-e3c9288da7df,44103e47-8d58-4d5f-b25b-7f18b830bf51,28999477-9f26-49ac-bf0f-5eb647860118
6,e9154073-669b-4df7-93bd-e4c6dd2504cc,2026-08-01T14:34:31.514076+00:00,sales_velocity_too_low,,B00CZCA6RI,"Assassin's Creed: Brotherhood (Xbox 360, 2010)",,v1|156541477340|0,"Assassin's Creed: Brotherhood (Microsoft Xbox 360, 2010) NEW SEALED",Brand New,Video Games; Video Games & Consoles,139973; 1249,ownedatworms,Xbox 360,Assassin's Creed: Brotherhood,,,,Explore the bustling areas of Rome in a single-player campaign spanning an estimated 15 hours in length Features a new class-based multiplayer component offering an assortment of game types Includes the following classes: exec,2010,Probable Match,Probable Match,,,sales_velocity_too_low,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,f6a7fb46-ee71-4be5-8260-493459f16034,c8af2703-f326-49b4-bf25-52cdad962f78,6519cafa-3dda-44fb-ad16-364520c5e0f0
7,68acac8f-f317-491b-a375-ee8d02928036,2026-08-01T14:34:31.039722+00:00,sales_velocity_too_low,,B00CZCA6RI,"Assassin's Creed: Brotherhood (Xbox 360, 2010)",,v1|387121307245|0,"Assassin's Creed: Brotherhood | Factory Sealed Brand New (Xbox 360, 2010)",Brand New,Video Games; Video Games & Consoles,139973; 1249,mjvideogamesgrandslamsportscards,Xbox 360,Assassin's Creed: Brotherhood,,,,Explore the bustling areas of Rome in a single-player campaign spanning an estimated 15 hours in length Features a new class-based multiplayer component offering an assortment of game types Includes the following classes: exec,2010,Probable Match,Probable Match,,,sales_velocity_too_low,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,7918e5b5-dc37-4031-bf31-08ae90175645,06520150-49dc-49af-90f4-f3ef486e936e,11723e30-6319-4087-afbb-e5ba6ed39082
8,3d5b643c-ae73-4f29-8b7e-70f5c2bcf51d,2026-08-01T14:34:30.392976+00:00,sales_velocity_too_low,,B00CZCA6RI,"Assassin's Creed: Brotherhood (Xbox 360, 2010)",,v1|395989287784|0,"Assassin's Creed: Brotherhood (Microsoft Xbox 360, 2010)",Brand New,Video Games; Video Games & Consoles,139973; 1249,juthur_80,Xbox 360,Assassin's Creed: Brotherhood,,,,Explore the bustling areas of Rome in a single-player campaign spanning an estimated 15 hours in length Features a new class-based multiplayer component offering an assortment of game types Includes the following classes: exec,2010,Probable Match,Probable Match,,,sales_velocity_too_low,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,3aed6454-2cff-4f28-a681-eeb99b5b274e,43bad9d3-2a6b-4648-975c-a5215311f256,2c9eeb01-0669-49c9-929d-0533046aba85
9,f0739051-d7bc-47ff-b7ef-0b05f644a393,2026-08-01T14:34:29.814748+00:00,sales_velocity_too_low,,B00CZCA6RI,"Assassin's Creed: Brotherhood (Xbox 360, 2010)",,v1|116460976166|0,Assassin's Creed: Brotherhood - Xbox 360 - Brand New in Box- Factory-Sealed,Brand New,Video Games; Video Games & Consoles,139973; 1249,tideripper_cards,Xbox 360,Assassin's Creed: Brotherhood,NTSC-U/C (US/Canada),,,"Manual Included, Multiplayer",,Probable Match,Probable Match,,,sales_velocity_too_low,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,c5d42921-d6a5-452e-b824-8ca2c176ab90,d24a3de1-ab03-4049-add7-f36d0547fb7e,8a482435-cd4d-46c2-a628-7a306287b734
10,3a55e760-9e72-4e43-96b6-6083cb551075,2026-08-01T14:15:50.606432+00:00,wrong_edition_version,,B00CX7FOVS,Madden NFL 25 - Xbox One,,v1|277852063182|0,Madden NFL 25 For Xbox Series X/ Xbox One New Factory Sealed,Brand New,Video Games; Video Games & Consoles,139973; 1249,southerntreasurefinds,Xbox Series X,Madden NFL 25,United States,,,Multiplayer,,Probable Match,Probable Match,,,unclear/insufficient evidence,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,2746eb9d-c6b7-45bf-ad23-b6e7129be601,10e5b24d-74dd-4b8c-bc75-651e3afba741,b3ae25fb-42d7-44b3-a6cc-13af15a3d280
11,b905f082-613e-43fd-be85-bbfbb6e73e50,2026-08-01T14:15:50.278772+00:00,wrong_edition_version,,B00CX7FOVS,Madden NFL 25 - Xbox One,,v1|287113366756|0,Madden NFL 25 Xbox Series X & Xbox One Brand New,Brand New,Video Games; Video Games & Consoles,139973; 1249,value_video_games,Xbox Series X,Madden NFL 25,NTSC-U/C (US/Canada); US,,,Multiplayer,2024,Probable Match,Probable Match,,,unclear/insufficient evidence,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,8a8d8e7b-b97f-40dc-944a-ac37acfd553d,d44031d3-5dad-47c3-9dde-1ec353fdf8b6,fcba8193-8001-482e-803b-aa3a4a4427ff
12,d4577c20-be9a-4017-87df-7f1a73d9bbce,2026-08-01T14:15:49.768532+00:00,wrong_edition_version,,B00CX7FOVS,Madden NFL 25 - Xbox One,,v1|168507988386|0,Madden NFL 25 - Microsoft Xbox Series X / Xbox One,Brand New,Video Games; Video Games & Consoles,139973; 1249,unboxing_cool_treasures,Xbox Series X,Madden NFL Football,NTSC-U/C (US/Canada); United States,,,Multiplayer,2024,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,7885b8d5-afb1-425e-b244-eacf5003b518,db6898a8-48a4-4dd5-9153-1d6b496dc0f1,6d227c69-9bca-4693-98bd-6ef548175367
13,ddbd01a6-14a6-4e3a-9d38-48f52595b67f,2026-08-01T14:07:42.061358+00:00,packaging_damage,,B000Q4SREG,MySims - Nintendo Wii,,v1|800347143226|0,EA MySims Nintendo Wii 2007 Simulation Game Sealed E NTSC-U/C (US/Canada),Brand New,Video Games; Video Games & Consoles,139973; 1249,rykel-0,Wii,MySims,NTSC-U/C (US/Canada),,,Sealed,2007,Probable Match,Probable Match,,,packaging_damage,evidence exists only in images,image_or_operator_visual_review,9a9c2266-a94f-4ffe-8b39-329649e714c6,741927f5-a0b1-4d3d-b517-51e0a138b362,3f878e4c-da5f-4d72-bc00-2ed1941ba286
14,dd8fa53a-9bad-49b9-803c-c3bc9e90a808,2026-08-01T13:48:48.949191+00:00,digital_item,,B07JMHZMX1,Minecraft – Xbox One [video game],,v1|366563816876|0,MINECRAFT + 3500 COINS For Microsoft Xbox One And Xbox Series X Sealed Rare,Brand New,Video Games; Video Games & Consoles,139973; 1249,stoneywaffles,Xbox Series X,Minecraft,Region Free,,,"Multiplayer, Online Playability",2014,Probable Match,Probable Match,,,digital_item,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,91c2b3c0-28d9-41a5-ae61-b7787013e275,ffbf4b07-3d77-4ebd-ba48-d3816ad8adce,9088b758-af57-400b-9712-15b5edcd3508
15,515c33b7-490d-4983-82f1-e539de326f82,2026-08-01T13:48:35.613444+00:00,digital_item,,B07JMHZMX1,Minecraft – Xbox One [video game],,v1|377379816677|0,"Minecraft with 3500 Minecoins - Code in Box - Xbox Series X/S, Xbox One",Brand New,Video Games; Video Games & Consoles,139973; 1249,bla832048,Xbox Series X,Minecraft,NTSC-U/C (US/Canada),,,Multiplayer,2018,Probable Match,Probable Match,,,digital_item,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,7b34aadd-d2fb-47e2-8aa0-c72fd7d5a438,8b492e10-486a-4a16-b20f-96c428fb85e9,9add28ff-0c68-41aa-a689-51d52c997ed8
16,bd81d8ee-08c9-4391-b2e9-4882d8b80fce,2026-08-01T13:45:56.885202+00:00,packaging_damage,,B00GUDHUDQ,Plants vs Zombies - Garden Warfare - Xbox 360 - NEW SEALED,,v1|396706750514|0,"PLANTS VS ZOMBIES GARDEN WARFARE (Microsoft Xbox 360, 2014) Brand NEW & Sealed! ",Brand New,Video Games; Video Games & Consoles,139973; 1249,kemic3808,Xbox 360,Plants Vs Zombies Garden Warfare,,,,Manual Included,,Probable Match,Probable Match,,,packaging_damage,evidence exists only in images,image_or_operator_visual_review,8dfe7ec2-5e37-46ac-9d05-3a9ba194afc3,464b9354-457b-4787-8034-a4d0abc96d9f,2c63cd4f-35f9-45aa-bc06-139ddc7cb289
17,7d9cfad2-7f34-459e-ba8e-416b5aa8b79a,2026-08-01T13:43:43.336804+00:00,missing_shrink_wrap,,B00GUDHUDQ,Plants vs Zombies - Garden Warfare - Xbox 360 - NEW SEALED,,v1|287351168212|0,"Plants vs. Zombies: Garden Warfare  (Xbox 360, 2014) BRAND NEW SEALED",Brand New,Video Games; Video Games & Consoles,139973; 1249,tcl217,Xbox 360,Plants Vs Zombies Garden Warfare,NTSC-U/C (US/Canada); United States,,,,2014,Probable Match,Probable Match,,,missing_shrink_wrap,evidence exists only in images,image_or_operator_visual_review,46a9c123-8b64-45de-bb02-8dc79be8100b,82e0eccd-900f-4a53-ac29-f91abfa53ece,3578d093-faa1-435b-a46c-54dbbbd42988
18,5eaf7a7f-605c-4e1b-ac84-202a0bde56f8,2026-08-01T13:42:00.171811+00:00,suspected_reseal,,B00STU8L3Q,The Elder Scrolls Online: Tamriel Unlimited - PC,,v1|164646963284|0,The Elder Scrolls Online Tamriel Unlimited Explorer's Pack PC New Sealed,Brand New,Video Games; Video Games & Consoles,139973; 1249,jrztoyzngamez93,PC,Elder Scrolls Online: Tamriel Unlimited,NTSC-U/C (US/Canada),,,Manual Included,,Probable Match,Probable Match,,,suspected_reseal,evidence exists only in images,image_or_operator_visual_review,2ba8c138-7e39-47dd-a2f2-4df4dd6379c9,d64f5871-f86b-4886-a68e-af911306609b,6286d2ec-6586-4773-892d-00fea3920258
19,6ae17920-ac9d-4049-8026-c34b3cd462ac,2026-08-01T04:26:01.381611+00:00,wrong_edition_version,,B004Y6DPQM,Dance Dance Revolution WII,,v1|358732080292|0,"Dance Dance Revolution: Hottest Party (Nintendo Wii, 2007) Game Only No Pad",Brand New,Video Games; Video Games & Consoles,139973; 1249,betman_6741,Wii,Dance Dance Revolution: Hottest Party,United States,,,Manual Included,2007,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,2445ab1b-cd39-4e23-a5e5-aadd5bf8fe1b,18d5f9c6-0c2e-4935-a2ed-88e60b2fa754,c7aed9a3-14d2-40e6-a8aa-dd0144670b2a
20,01461e5e-4c78-4b01-96b7-643e71f1dd3b,2026-08-01T04:25:52.738376+00:00,wrong_edition_version,,B01IPARXDS,Sniper Elite 4 - Xbox One,,v1|257649000891|0,"Sniper Elite 4 (Xbox One, 2017)",Brand New,Video Games; Video Games & Consoles,139973; 1249,sellingmestuff,Xbox One,Sniper Elite 4,NTSC-U/C (US/Canada),,,"Manual Included, Multiplayer, Online Playability, Complete Edition",,Probable Match,Probable Match,,,base game vs complete/GOTY edition,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,567e0bbc-afcf-4fd9-9442-123c64ff88f2,0ee6ab69-cb88-4902-bb0a-db631782f552,b5974e0d-b496-4a9e-820f-b8c941732242
